代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600085"	同仁堂	4.75	22.05	1.00	22.05	22.06	254575	29	0.18	          1.94	20.90	22.09	20.80	21.05	    37.42	555349184	  2.15	中成药	北京	6.13	21.81	106324	148250	  0.72	449	1480	--  	     131114.31	
="600280"	中央商场	4.14	14.60	0.58	14.58	14.60	164189	27	0.00	          2.86	13.95	14.95	13.85	14.02	    12.71	240225504	  2.14	百货	江苏	7.85	14.63	76071	88117	  0.86	127	531	--  	      57416.73	
="000789"	万年青	4.03	13.95	0.54	13.94	13.95	332699	2426	0.35	          8.14	13.47	14.62	13.41	13.41	    11.41	465514784	  2.17	水泥	江西	9.02	13.99	150468	182230	  0.83	1011	844	--  	      40888.75	
="000012"	南  玻Ａ	3.83	8.95	0.33	8.95	8.96	706272	21337	0.78	          5.42	8.65	8.95	8.48	8.62	    18.89	620014144	  1.84	玻璃	深圳	5.45	8.78	323162	383110	  0.84	351	4034	--  	     130276.85	
="600015"	华夏银行	3.82	13.31	0.49	13.32	13.33	2620045	130	0.52	          4.04	12.78	13.56	12.66	12.82	     6.75	3472144640	  0.92	银行	北京	7.02	13.25	1257829	1362215	  0.92	1241	99	--  	     648768.69	
="600801"	华新水泥	3.57	10.74	0.37	10.73	10.74	642687	890	0.84	          6.61	10.48	11.11	10.20	10.37	    14.79	690954880	  1.52	水泥	湖北	8.78	10.75	305521	337166	  0.91	674	167	--  	      97167.99	
="000538"	云南白药	3.14	60.81	1.85	60.80	60.81	161632	1479	0.03	          1.55	59.00	62.00	58.96	58.96	    24.42	982670656	  1.64	中成药	云南	5.16	60.80	73055	88577	  0.82	180	141	--  	     104136.53	
="600618"	氯碱化工	3.05	10.13	0.30	10.11	10.12	174674	32	-0.09	          2.33	9.79	10.58	9.70	9.83	--  	178784848	  1.39	化工原料	上海	8.95	10.24	74219	100455	  0.74	230	105	--  	      74984.00	
="000042"	中洲控股	3.00	15.12	0.44	15.11	15.12	127860	1062	0.00	          2.67	14.68	15.22	14.42	14.68	    17.79	190889328	  1.73	全国地产	深圳	5.45	14.93	49246	78613	  0.63	602	3	--  	      47879.07	
="601288"	农业银行	2.91	3.54	0.10	3.54	3.55	9340923	161	0.28	          0.33	3.44	3.59	3.41	3.44	     5.66	3281640704	  0.85	银行	北京	5.23	3.51	3931684	5409238	  0.73	25876	49260	--  	   28416352.00	
="600036"	招商银行	2.55	15.68	0.39	15.70	15.71	3911959	676	0.90	          1.90	15.39	15.84	15.31	15.29	     6.48	6098380288	  0.91	银行	深圳	3.47	15.59	1765697	2146261	  0.82	200	8	--  	    2062894.50	
