代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002731"	萃华珠宝	10.01	33.19	3.02	33.19	--  	79329	23	0.00	         21.05	30.27	33.19	30.26	30.17	    39.83	255414816	  4.24	服饰	辽宁	9.71	
="300222"	科大智能	10.01	33.52	3.05	33.52	--  	32500	46	0.00	          4.12	30.78	33.52	30.49	30.47	    97.95	104923808	  1.46	电气设备	上海	9.94	
="002055"	得润电子	10.01	12.42	1.13	12.42	--  	186649	333	0.00	          4.63	11.50	12.42	11.49	11.29	    40.56	225431552	  2.50	元器件	深圳	8.24	
="603606"	东方电缆	10.01	26.16	2.38	26.16	--  	118232	2	0.00	         37.71	24.70	26.16	24.21	23.78	    72.04	298665344	  5.73	电气设备	浙江	8.20	
="601299"	中国北车	10.01	13.63	1.24	13.63	--  	5280389	19	0.00	          5.21	12.65	13.63	12.65	12.39	    31.66	7040018432	  1.28	运输设备	北京	7.91	
="300269"	联建光电	10.01	40.56	3.69	40.56	--  	98702	9	0.00	         14.37	36.91	40.56	35.51	36.87	    69.13	389486784	  1.44	半导体	深圳	13.70	
="000908"	天一科技	10.01	15.83	1.44	15.83	--  	63531	869	0.00	          2.27	14.30	15.83	14.15	14.39	--  	96117448	  4.14	机械基件	湖南	11.67	
="002681"	奋达科技	10.01	32.21	2.93	32.21	--  	126915	1858	0.00	         16.92	29.88	32.21	29.88	29.28	    66.55	398159392	  3.60	家用电器	深圳	7.96	
="000997"	新 大 陆	10.01	32.32	2.94	32.32	--  	392282	589	0.00	          7.72	29.68	32.32	29.50	29.38	    76.58	1238673792	  1.65	软件服务	福建	9.60	
="300411"	金盾股份	10.01	36.28	3.30	36.28	--  	39950	3	0.00	         19.97	34.40	36.28	34.00	32.98	    66.97	142848128	  0.50	专用机械	浙江	6.91	
="300242"	明家科技	10.01	38.48	3.50	38.48	--  	41544	1	0.00	          9.95	35.87	38.48	34.72	34.98	  1395.34	151698880	  2.19	元器件	广东	10.75	
="002382"	蓝帆医疗	10.01	20.12	1.83	20.12	--  	25958	3	0.00	          1.09	18.67	20.12	18.50	18.29	   114.90	50441888	  1.30	医疗保健	山东	8.86	
="300318"	博晖创新	10.01	20.67	1.88	20.67	--  	42798	20	0.00	          7.09	18.63	20.67	18.63	18.79	    80.28	84414048	  2.23	医疗保健	北京	10.86	
="002732"	燕塘乳业	10.00	24.19	2.20	24.19	--  	78169	10	0.00	         19.86	21.90	24.19	21.83	21.99	    44.11	183247696	  2.45	乳制品	广东	10.73	
="002065"	东华软件	10.00	24.96	2.27	24.96	--  	1052727	771	0.00	          7.94	23.15	24.96	22.96	22.69	    51.19	2585819904	  1.69	软件服务	北京	8.81	
="002735"	王子新材	10.00	31.56	2.87	31.56	--  	71120	4	0.00	         35.56	29.39	31.56	29.31	28.69	    89.04	220563184	  2.32	塑料	深圳	7.84	
="300075"	数字政通	10.00	33.76	3.07	33.76	--  	71906	63	0.00	          5.87	30.90	33.76	30.70	30.69	   140.52	235957344	  1.70	软件服务	北京	9.97	
="600184"	光电股份	10.00	38.16	3.47	38.16	--  	24025	9	0.00	          1.15	34.69	38.16	34.69	34.69	   476.98	88894944	  1.70	玻璃	湖北	10.00	
="603168"	莎普爱思	10.00	92.82	8.44	92.82	--  	6489	1	0.00	          3.97	92.82	92.82	92.82	84.38	    45.51	60233776	  0.93	化学制药	浙江	0.00	
="002153"	石基信息	10.00	81.83	7.44	81.83	--  	49396	232	0.00	          3.03	74.78	81.83	73.60	74.39	    82.56	387089408	  1.34	软件服务	北京	11.06	
="603988"	中电电机	10.00	39.38	3.58	39.38	--  	37973	5	0.00	         18.99	35.50	39.38	35.24	35.80	    55.37	144632016	  3.77	电气设备	江苏	11.56	
="600149"	廊坊发展	10.00	19.80	1.80	19.80	--  	529922	100	0.00	         13.94	18.38	19.80	18.38	18.00	  1383.64	1025719168	  1.74	机械基件	河北	7.89	
="600055"	华润万东	10.00	22.44	2.04	22.44	--  	86341	6	0.00	          3.99	20.65	22.44	20.61	20.40	   260.65	191693168	  2.75	医疗保健	北京	8.97	
="300391"	康跃科技	10.00	36.30	3.30	36.30	--  	20912	66	0.00	         12.54	33.29	36.30	32.73	33.00	    89.21	72595936	  2.64	机械基件	山东	10.82	
="300162"	雷曼光电	10.00	60.06	5.46	60.06	--  	83327	89	0.00	         10.07	53.60	60.06	53.00	54.60	   240.19	468233344	  1.32	元器件	深圳	12.93	
="300085"	银之杰	10.00	65.45	5.95	65.45	--  	68139	7	0.00	          5.47	58.99	65.45	58.50	59.50	  3819.11	434197216	  1.04	软件服务	深圳	11.68	
="002724"	海洋王	10.00	26.84	2.44	26.84	--  	130468	143	0.00	         26.09	24.50	26.84	24.41	24.40	    90.80	339847680	  3.60	半导体	深圳	9.96	
="002657"	中科金财	10.00	72.60	6.60	72.60	--  	66258	159	0.00	         10.38	66.17	72.60	64.66	66.00	   212.50	461952512	  0.85	软件服务	北京	12.03	
="002462"	嘉事堂	10.00	31.68	2.88	31.68	--  	113274	283	0.00	          5.79	28.80	31.68	28.21	28.80	    29.45	340650208	  2.20	医药商业	北京	12.05	
="002448"	中原内配	10.00	20.79	1.89	20.79	--  	51456	3	0.00	          2.87	20.79	20.79	20.79	18.90	    25.14	106977880	  1.29	运输设备	河南	0.00	
="002432"	九安医疗	10.00	26.18	2.38	26.18	--  	204755	166	0.00	          5.50	24.10	26.18	23.80	23.80	--  	529872800	  4.01	医疗保健	天津	10.00	
="002073"	软控股份	10.00	13.64	1.24	13.64	--  	511695	1596	0.00	          8.27	12.50	13.64	12.47	12.40	    62.90	675945792	  2.74	软件服务	山东	9.44	
="002066"	瑞泰科技	10.00	11.33	1.03	11.33	--  	275904	139	0.00	         11.94	10.42	11.33	10.42	10.30	   241.47	308197248	  5.50	其他建材	北京	8.83	
="000920"	南方汇通	10.00	16.94	1.54	16.94	--  	130052	563	0.00	          3.08	15.61	16.94	15.44	15.40	    40.33	213071424	  1.59	运输设备	贵州	9.74	
="000540"	中天城投	10.00	12.21	1.11	12.21	--  	666133	518	0.00	          5.20	11.49	12.21	11.36	11.10	    12.08	797107264	  1.99	区域地产	贵州	7.66	
="000049"	德赛电池	10.00	34.33	3.12	34.33	--  	128089	1447	0.00	          6.24	31.26	34.33	31.26	31.21	    36.66	430221856	  4.04	电气设备	深圳	9.84	
="002098"	浔兴股份	9.99	16.95	1.54	16.95	--  	45452	45	0.00	          2.93	15.39	16.95	15.38	15.41	    29.44	75158016	  0.55	服饰	福建	10.19	
="300015"	爱尔眼科	9.99	32.80	2.98	32.80	--  	134735	66	0.00	          2.57	30.32	32.80	30.32	29.82	    63.06	431598144	  2.75	医疗保健	湖南	8.32	
="002095"	生 意 宝	9.99	47.22	4.29	47.22	--  	236725	77	0.00	         11.32	46.00	47.22	43.20	42.93	   253.98	1070616640	  2.09	互联网	浙江	9.36	
="002337"	赛象科技	9.99	38.64	3.51	38.64	--  	183045	214	0.00	          9.93	35.19	38.64	35.19	35.13	   164.69	673368256	  0.80	化工机械	天津	9.82	
="002738"	中矿资源	9.99	37.65	3.42	37.65	--  	94651	8	0.00	         31.55	33.60	37.65	33.58	34.23	   103.45	344109952	  0.86	建筑施工	北京	11.89	
="603588"	高能环境	9.99	43.93	3.99	43.93	--  	75084	12	0.00	         18.59	41.50	43.93	40.81	39.94	   119.23	322914336	  0.63	环境保护	北京	7.81	
="603688"	石英股份	9.99	20.04	1.82	20.04	--  	110391	5	0.00	         19.73	18.24	20.04	18.24	18.22	    72.31	215730560	  4.14	矿物制品	江苏	9.88	
="300150"	世纪瑞尔	9.99	18.72	1.70	18.72	--  	135346	80	0.00	          7.57	17.21	18.72	17.10	17.02	   279.59	247988640	  1.78	软件服务	北京	9.52	
="300124"	汇川技术	9.99	37.00	3.36	37.00	--  	173435	2184	0.00	          2.85	33.70	37.00	33.70	33.64	    46.68	614336384	  0.98	电器仪表	深圳	9.81	
="300040"	九洲电气	9.99	8.37	0.76	8.37	--  	237457	485	0.00	         11.97	7.65	8.37	7.65	7.61	   371.86	196740912	  4.71	电气设备	黑龙江	9.46	
="600156"	华升股份	9.99	7.93	0.72	7.92	7.93	223462	84	0.12	          5.56	7.27	7.93	7.27	7.21	--  	173851344	  3.49	纺织	湖南	9.15	
="002178"	延华智能	9.99	14.87	1.35	14.87	--  	654325	571	0.00	         21.01	14.00	14.87	14.00	13.52	   102.57	960398080	  3.67	建筑施工	上海	6.43	
="300043"	互动娱乐	9.98	18.73	1.70	18.73	--  	351628	3262	0.00	         18.74	17.30	18.73	17.00	17.03	    53.25	635508288	  1.56	文教休闲	广东	10.16	
="002551"	尚荣医疗	9.98	24.02	2.18	24.02	--  	174746	113	0.00	          7.99	22.28	24.02	22.28	21.84	    75.68	406857888	  3.28	医疗保健	深圳	7.97	
="300012"	华测检测	9.98	16.42	1.49	16.42	--  	101435	206	0.00	          4.97	15.00	16.42	15.00	14.93	    55.71	162256544	  2.28	电器仪表	深圳	9.51	
="300210"	森远股份	9.98	15.32	1.39	15.32	--  	25188	4	0.00	          2.29	13.93	15.32	13.93	13.93	    42.27	37649064	  2.28	专用机械	辽宁	9.98	
="600718"	东软集团	9.98	19.51	1.77	19.51	--  	951019	7	0.00	          7.75	18.02	19.51	18.02	17.74	    83.83	1827504640	  1.14	软件服务	辽宁	8.40	
="600982"	宁波热电	9.98	9.04	0.82	9.04	--  	990324	15	0.89	         23.58	8.15	9.04	8.15	8.22	    42.30	867106176	  2.39	供气供热	浙江	10.83	
="002520"	日发精机	9.97	31.54	2.86	31.53	31.54	61249	618	-0.03	          2.93	28.50	31.55	28.50	28.68	   129.52	186114800	  1.41	机床制造	浙江	10.63	
="600376"	首开股份	9.97	10.59	0.96	10.59	--  	1176139	60	0.00	          5.25	9.63	10.59	9.58	9.63	    14.85	1191217408	  1.27	区域地产	北京	10.49	
="002103"	广博股份	9.97	13.90	1.26	13.90	--  	38384	493	0.00	          2.25	13.50	13.90	13.50	12.64	   235.83	52812020	  1.40	文教休闲	浙江	3.16	
="000046"	泛海控股	9.96	10.49	0.95	10.48	10.49	763293	7724	0.00	          1.68	9.63	10.49	9.21	9.54	    99.95	778218048	  1.53	全国地产	深圳	13.42	
="002061"	江山化工	9.95	6.41	0.58	6.41	--  	390517	1429	0.00	          9.55	5.92	6.41	5.77	5.83	--  	241179552	  2.58	化工原料	浙江	10.98	
="600271"	航天信息	9.89	40.66	3.66	40.65	40.66	319565	198	-0.09	          3.46	37.90	40.70	37.28	37.00	    31.19	1259882496	  1.28	电脑设备	北京	9.24	
="600155"	宝硕股份	9.81	16.34	1.46	16.34	16.35	356169	42	0.12	          8.63	15.09	16.37	14.86	14.88	--  	562352896	  1.33	化工原料	河北	10.15	
="603111"	康尼机电	9.67	23.14	2.04	23.13	23.14	73113	50	0.08	         10.11	21.15	23.20	21.15	21.10	    46.59	164340720	  3.81	运输设备	江苏	9.72	
="000565"	渝三峡Ａ	9.60	15.41	1.35	15.41	15.42	56676	707	0.06	          3.27	14.07	15.46	14.07	14.06	    48.08	84106248	  1.67	染料涂料	重庆	9.89	
="600685"	广船国际	9.55	41.41	3.61	41.40	41.41	159992	29	-0.09	          3.65	38.38	41.58	38.01	37.80	--  	643981184	  1.65	船舶	广东	9.44	
="002622"	永大集团	9.48	39.96	3.46	39.96	39.98	158830	1953	-0.10	         16.45	36.00	40.15	36.00	36.50	   172.08	609279168	  0.98	电气设备	吉林	11.37	
="600885"	宏发股份	9.48	23.10	2.00	23.01	23.11	98699	2	-0.12	          3.37	21.45	23.21	21.35	21.10	    26.35	224351392	  1.76	电气设备	湖北	8.82	
="000859"	国风塑业	9.46	6.13	0.53	6.12	6.13	63366	6367	3.37	          1.51	5.60	6.16	5.60	5.60	  2451.11	36849144	  1.87	塑料	安徽	10.00	
="600755"	厦门国贸	9.46	12.84	1.11	12.81	12.83	1476256	140	1.26	         11.09	11.95	12.85	11.63	11.73	    22.27	1798154112	  2.04	商贸代理	福建	10.40	
="000511"	烯碳新材	9.42	9.76	0.84	9.76	9.77	1279324	18300	0.20	         11.08	9.20	9.80	9.19	8.92	   305.62	1209555328	  1.42	矿物制品	辽宁	6.84	
="002040"	南 京 港	9.31	11.51	0.98	11.50	11.51	208998	3420	0.00	          8.50	10.51	11.58	10.51	10.53	   154.48	235458624	  6.01	港口	江苏	10.16	
="002723"	金莱特	9.21	28.58	2.41	28.56	28.58	30003	523	0.28	         12.85	26.20	28.79	26.20	26.17	    60.98	82896808	  3.57	家用电器	广东	9.90	
="600208"	新湖中宝	9.18	7.97	0.67	7.95	7.96	2132127	130	-0.37	          3.41	7.47	8.03	7.41	7.30	   107.71	1692444800	  2.33	全国地产	浙江	8.49	
="600587"	新华医疗	9.14	36.31	3.04	36.33	36.35	269318	314	-0.38	          7.50	33.56	36.60	33.01	33.27	    45.67	942549184	  3.55	医疗保健	山东	10.79	
