代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600626"	申达股份	9.04	13.03	1.08	13.05	13.06	769409	8	0.15	         10.83	11.86	13.15	11.66	11.95	    67.43	984926976	  1.38	纺织	上海	12.47	12.80	344927	424481	  0.81	88	556	--  	      71024.28	
="002301"	齐心集团	5.37	10.01	0.51	10.01	10.02	99993	1187	0.20	          2.93	9.48	10.08	9.41	9.50	   177.28	98079728	  1.46	文教休闲	深圳	7.05	9.81	36455	63537	  0.57	230	268	--  	      34120.00	
="600180"	瑞茂通	3.55	16.05	0.55	16.03	16.05	90514	7	0.00	          3.50	15.40	16.44	15.20	15.50	    42.09	143519968	  0.65	仓储物流	山东	8.00	15.86	41724	48790	  0.86	50	73	--  	      25850.25	
="600276"	恒瑞医药	3.19	42.01	1.30	42.00	42.01	93159	34	0.00	          0.62	40.30	42.18	40.30	40.71	    42.46	387918016	  1.51	化学制药	江苏	4.62	41.64	37129	56030	  0.66	5	9	--  	     149624.31	
="300217"	东方电热	3.13	12.53	0.38	12.52	12.53	198949	1436	0.48	          9.25	12.10	12.86	11.85	12.15	    51.59	248646848	  1.08	电器仪表	江苏	8.31	12.50	89334	109614	  0.81	197	361	--  	      21497.27	
="600060"	海信电器	2.61	14.56	0.37	14.55	14.56	1293277	18	-0.47	          9.88	13.79	14.98	13.70	14.19	    15.54	1860774016	  1.58	家用电器	山东	9.02	14.39	631145	662132	  0.95	416	304	--  	     130848.13	
="601678"	滨化股份	1.83	10.60	0.19	10.58	10.59	138913	5	-0.09	          2.10	10.31	10.65	9.98	10.41	    16.62	144463488	  0.98	化工原料	山东	6.44	10.40	59683	79230	  0.75	158	32	--  	      66000.00	
="000417"	合肥百货	1.73	8.23	0.14	8.23	8.24	105164	954	-0.36	          1.35	8.00	8.32	7.91	8.09	    16.66	85542752	  0.72	百货	安徽	5.07	8.13	51248	53916	  0.95	239	199	--  	      77859.75	
="000758"	中色股份	1.63	15.62	0.25	15.62	15.63	453770	3452	-0.12	          5.03	15.06	16.00	14.80	15.37	   163.83	702766080	  1.06	铅锌	北京	7.81	15.49	220242	233527	  0.94	2335	584	--  	      90156.15	
="600329"	中新药业	1.62	16.28	0.26	16.27	16.29	55754	104	0.18	          1.04	15.97	16.36	15.89	16.02	    35.15	90082616	  0.85	中成药	天津	2.93	16.16	25392	30362	  0.84	612	254	--  	      53620.37	
="000550"	江铃汽车	1.62	38.98	0.62	38.98	38.99	26110	168	-0.07	          0.50	38.01	39.18	37.15	38.36	    16.48	100825992	  1.34	汽车整车	江西	5.29	38.62	11185	14924	  0.75	27	20	--  	      51742.80	
