代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="300140"	启源装备	1.59	24.91	0.39	24.90	24.91	52582	513	         -0.24	          4.56	24.65	25.91	24.30	24.52	   518.37	132508104	  0.97	电气设备	陕西	 6.57	25.20	24073	28509	  0.84	247	89	--  	      11534.82	
="300310"	宜通世纪	1.59	19.18	0.30	19.18	19.20	16700	187	          0.15	          2.92	18.80	19.44	18.55	18.88	    95.43	31901058	  1.12	通信设备	广东	 4.71	19.10	7849	8851	  0.89	9	113	--  	       5720.00	
="000877"	天山股份	1.59	8.32	0.13	8.31	8.32	382439	2368	          0.24	          4.35	8.23	8.39	8.13	8.19	    17.88	315820800	  1.38	水泥	新疆	 3.17	8.26	185598	196841	  0.94	749	2141	--  	      88001.99	
="600409"	三友化工	1.58	6.42	0.10	6.42	6.43	619860	477	         -0.15	          3.71	6.41	6.52	6.34	6.32	    23.96	397953216	  1.97	化工原料	河北	 2.85	6.42	315445	304415	  1.04	523	1463	--  	     166971.91	
="600623"	双钱股份	1.58	14.15	0.22	14.16	14.17	23121	29	          0.21	          0.36	13.91	14.23	13.87	13.93	    42.99	32645660	  1.78	汽车配件	上海	 2.58	14.12	9480	13641	  0.69	71	192	--  	      64636.76	
="002522"	浙江众成	1.58	19.96	0.31	19.96	19.97	65514	1446	         -0.10	          2.93	19.68	20.33	19.40	19.65	   165.41	129934728	  1.75	塑料	浙江	 4.73	19.83	30559	34955	  0.87	67	159	--  	      22336.58	
="000752"	西藏发展	1.58	14.81	0.23	14.81	14.82	97350	326	          0.00	          3.69	14.54	15.08	14.44	14.58	   215.94	142969056	  1.28	啤酒	西藏	 4.39	14.69	51742	45608	  1.13	351	131	--  	      26375.01	
="601958"	金钼股份	1.58	9.66	0.15	9.65	9.66	761705	2	          0.20	          2.36	9.39	10.15	9.29	9.51	   133.89	735164992	  2.28	小金属	陕西	 9.04	9.65	359452	402253	  0.89	461	152	--  	     322660.44	
="000927"	一汽夏利	1.58	5.80	0.09	5.79	5.80	140529	2475	          0.34	          0.88	5.68	5.80	5.60	5.71	--  	80625376	  1.75	汽车整车	天津	 3.50	5.74	70072	70457	  0.99	1306	1766	--  	     159517.09	
="300300"	汉鼎股份	1.57	25.17	0.39	25.16	25.17	31895	250	          0.07	          3.72	24.66	25.20	24.66	24.78	    70.33	79757504	  1.05	软件服务	浙江	 2.18	25.01	13413	18482	  0.73	110	103	--  	       8577.37	
="600358"	国旅联合	1.57	9.05	0.14	9.04	9.05	39595	100	          0.11	          0.92	8.91	9.06	8.82	8.91	--  	35531460	  0.84	旅游服务	江苏	 2.69	8.97	15332	24263	  0.63	147	111	--  	      43200.00	
="002414"	高德红外	1.56	22.75	0.35	22.74	22.75	57756	745	          0.08	          1.24	22.45	22.81	22.20	22.40	   211.63	130872560	  1.71	电器仪表	湖北	 2.72	22.66	28872	28884	  1.00	111	498	--  	      46445.51	
="002311"	海大集团	1.56	11.06	0.17	11.05	11.06	115668	934	          0.18	          1.16	10.92	11.07	10.86	10.89	    16.45	126688640	  1.49	饲料	广东	 1.93	10.95	56115	59553	  0.94	1014	1014	--  	     100090.92	
