代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600318"	巢东股份	10.00	12.32	1.12	12.32	--  	16357	5	0.00	          0.68	12.32	12.32	12.32	11.20	    19.72	20151356	  0.39	水泥	安徽	0.00	12.32	16316	40	407.90	90178	0	--  	      24200.00	
="600268"	国电南自	3.94	8.18	0.31	8.18	8.19	181567	467	0.61	          2.86	7.87	8.20	7.80	7.87	--  	145966976	  1.64	电气设备	江苏	5.08	8.04	74111	107456	  0.69	97	787	--  	      63524.64	
="002605"	姚记扑克	3.88	19.53	0.73	19.52	19.53	222047	2075	0.15	          8.72	18.66	20.38	18.66	18.80	    58.39	435477504	  4.67	文教休闲	上海	9.15	19.61	89257	132790	  0.67	1062	66	--  	      25458.05	
="600420"	现代制药	2.91	25.08	0.71	25.10	25.12	119744	150	0.11	          4.16	24.00	26.20	23.70	24.37	    43.37	299298016	  1.43	化学制药	上海	10.26	24.99	59338	60405	  0.98	9	8	--  	      28773.33	
="002059"	云南旅游	1.55	12.41	0.19	12.41	12.42	44615	639	0.48	          1.91	12.39	12.88	12.29	12.22	   291.82	56217232	  2.27	旅游景点	云南	4.83	12.60	24518	20097	  1.22	278	20	--  	      23346.71	
="300217"	东方电热	1.50	12.18	0.18	12.17	12.18	109457	1886	0.91	          5.09	11.98	12.24	11.62	12.00	    50.15	130654104	  0.84	电器仪表	江苏	5.17	11.94	60547	48910	  1.24	792	308	--  	      21497.27	
="002572"	索菲亚	1.48	25.38	0.37	25.37	25.38	39115	79	-0.39	          1.56	25.01	25.53	24.47	25.01	    42.38	97648512	  1.07	家居用品	广东	4.24	24.96	16724	22391	  0.75	51	19	--  	      25138.69	
="600978"	宜华木业	1.26	7.26	0.09	7.26	7.27	736502	63	0.55	          4.97	7.17	7.33	7.02	7.17	    17.97	529963744	  0.64	家居用品	广东	4.32	7.20	383234	353267	  1.08	145	596	--  	     148287.00	
="002344"	海宁皮城	0.85	16.70	0.14	16.70	16.71	255893	2238	0.36	          2.33	16.48	17.40	16.32	16.56	    17.75	431654304	  1.43	商品城	浙江	6.52	16.87	123727	132165	  0.94	3212	5	--  	     109970.96	
="600436"	片仔癀	0.73	99.75	0.72	99.60	99.77	13006	1	-0.05	          0.81	98.79	100.95	98.00	99.03	    40.29	129615528	  0.51	中成药	福建	2.98	99.66	6926	6079	  1.14	1	1	--  	      16088.45	
="000530"	大冷股份	0.64	12.64	0.08	12.64	12.65	90867	561	0.00	          4.21	12.50	13.16	12.46	12.56	    34.48	116124488	  1.50	机械基件	辽宁	5.57	12.78	47657	43210	  1.10	176	369	--  	      21579.34	
="600329"	中新药业	0.50	16.14	0.08	16.13	16.15	41521	97	0.12	          0.77	16.07	16.32	16.02	16.06	    34.84	67161968	  0.93	中成药	天津	1.87	16.18	18307	23213	  0.79	96	345	--  	      53620.37	
="600305"	恒顺醋业	0.49	18.63	0.09	18.62	18.63	18059	4	0.48	          0.71	18.53	18.74	18.22	18.54	    76.39	33339248	  0.63	食品	江苏	2.80	18.46	10102	7957	  1.27	5	14	--  	      25430.00	
="601801"	皖新传媒	0.47	19.42	0.09	19.45	19.47	98728	50	0.77	          1.08	19.35	20.08	19.23	19.33	    23.17	193978512	  1.65	出版业	安徽	4.40	19.65	47061	51666	  0.91	265	1	--  	      91000.00	
="000860"	顺鑫农业	0.40	19.93	0.08	19.92	19.93	39683	922	0.05	          0.90	19.80	20.07	19.72	19.85	    30.20	79004168	  0.57	农业综合	北京	1.76	19.91	21406	18276	  1.17	35	950	--  	      43852.50	
="600398"	海澜之家	0.35	11.36	0.04	11.35	11.38	63995	2	0.08	          0.99	11.32	11.42	11.20	11.32	    23.73	72526800	  0.63	服饰	江苏	1.94	11.33	36062	27933	  1.29	98	334	--  	      64660.41	
="300108"	双龙股份	0.25	16.29	0.04	16.29	16.30	11302	221	0.06	          1.39	16.30	16.35	16.03	16.25	    99.07	18329634	  0.66	化工原料	吉林	1.97	16.22	4856	6446	  0.75	58	121	--  	       8108.75	
="600276"	恒瑞医药	0.20	40.20	0.08	40.20	40.22	51956	16	0.42	          0.35	40.10	40.98	39.95	40.12	    40.63	209591824	  0.90	化学制药	江苏	2.57	40.34	29801	22155	  1.35	0	20	--  	     149624.31	
="002482"	广田股份	0.17	17.95	0.03	17.94	17.95	40098	378	0.44	          0.88	17.99	18.18	17.82	17.92	    21.66	72031936	  0.62	装修装饰	深圳	2.01	17.96	21635	18463	  1.17	239	62	--  	      45321.30	
="600858"	银座股份	0.00	9.83	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.83	    19.34	0	  0.00	百货	山东	0.00	9.83	0	0	--  	0	0	--  	      51754.80	
="600749"	西藏旅游	0.00	12.18	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.18	  1161.76	0	  0.00	旅游景点	西藏	0.00	12.18	0	0	--  	0	0	--  	      18913.78	
="600614"	鼎立股份	0.00	14.85	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	14.85	   380.46	0	  0.00	综合类	上海	0.00	14.85	0	0	--  	0	0	--  	      44675.94	
="600575"	皖江物流	0.00	4.11	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.11	--  	0	  0.00	水运	安徽	0.00	4.11	0	0	--  	0	0	--  	     142320.00	
="600365"	通葡股份	0.00	11.38	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.38	  5686.21	0	  0.00	红黄药酒	吉林	0.00	11.38	0	0	--  	0	0	--  	      14000.00	
="600103"	青山纸业	0.00	3.66	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	3.66	   601.14	0	  0.00	造纸	福建	0.00	3.66	0	0	--  	0	0	--  	     106184.15	
