代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="601908"	京运通	10.04	10.96	1.00	10.96	--  	243448	74	          0.00	          8.56	9.99	10.96	9.99	9.96	    55.92	261013760	  3.57	半导体	北京	 9.74	10.72	99991	143457	  0.70	7680	0	--  	      28451.52	
="300005"	探路者	9.98	20.39	1.85	20.39	--  	514733	2242	          0.00	         15.97	18.44	20.39	18.30	18.54	    43.75	1017260352	  1.22	服饰	北京	11.27	19.76	275288	239445	  1.15	24014	0	--  	      32222.78	
="000514"	渝 开 发	9.93	6.31	0.57	6.31	--  	165274	276	          0.00	          1.96	5.86	6.31	5.86	5.74	    32.96	103495240	  1.00	区域地产	重庆	 7.84	6.26	141284	23990	  5.89	108345	0	--  	      84377.09	
="002172"	澳洋科技	7.61	7.07	0.50	7.06	7.07	122644	2106	          0.14	          2.28	6.57	7.08	6.47	6.57	--  	84603440	  3.15	化纤	江苏	 9.28	6.90	53180	69464	  0.77	654	370	--  	      53754.96	
="002031"	巨轮股份	7.51	12.03	0.84	12.02	12.03	216608	2225	          0.41	          5.29	11.16	12.03	11.01	11.19	    34.35	251244816	  2.08	汽车配件	广东	 9.12	11.60	85064	131544	  0.65	256	436	--  	      40972.19	
="300178"	腾邦国际	7.47	23.60	1.64	23.60	23.61	92139	2244	          0.08	          5.93	22.39	23.60	22.00	21.96	    49.41	212679264	  1.66	旅游服务	深圳	 7.29	23.08	39831	52308	  0.76	326	77	--  	      15548.70	
="002018"	华星化工	7.17	12.70	0.85	12.69	12.70	187387	2706	          0.00	          4.19	11.88	12.71	11.88	11.85	   158.26	232094976	  1.59	农药化肥	安徽	 7.00	12.39	73724	113663	  0.65	433	1180	--  	      44739.51	
="600836"	界龙实业	7.07	11.20	0.74	11.19	11.21	160672	67	         -0.17	          5.12	10.42	11.48	10.38	10.46	   429.30	178134912	  4.78	广告包装	上海	10.52	11.09	63457	97215	  0.65	306	75	--  	      31356.33	
="002073"	软控股份	6.53	13.21	0.81	13.21	13.22	514588	4256	          0.15	          8.32	12.30	13.30	12.19	12.40	    45.06	668328896	  1.28	软件服务	山东	 8.95	12.99	210628	303960	  0.69	1699	1523	--  	      61879.48	
="002690"	美亚光电	6.41	46.80	2.82	46.78	46.80	19064	358	          0.21	          1.72	43.98	46.80	43.51	43.98	    74.06	87243648	  1.35	专用机械	安徽	 7.48	45.76	7137	11927	  0.60	4	120	--  	      11095.95	
="300204"	舒泰神	6.31	29.50	1.75	29.50	29.52	28204	186	          0.13	          1.20	27.03	29.70	27.03	27.75	    42.99	81195312	  1.81	生物制药	北京	 9.62	28.79	9421	18783	  0.50	33	0	--  	      23575.42	
