代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="000931"	中 关 村	9.99	8.92	0.81	8.92	--  	518827	1135	0.00	         10.24	8.18	8.92	8.09	8.11	--  	440178016	  1.70	区域地产	北京	10.23	8.48	292167	226660	  1.29	90799	0	--  	
="600497"	驰宏锌锗	9.98	12.56	1.14	12.56	--  	1045854	78	0.31	          6.27	11.42	12.56	11.33	11.42	   102.73	1270016512	  2.69	铅锌	云南	10.77	12.14	470185	575669	  0.82	35744	0	--  	
="600082"	海泰发展	8.61	7.82	0.62	7.81	7.82	638133	61	0.51	         10.13	7.35	7.92	7.16	7.20	    69.17	480555712	  1.98	园区开发	天津	10.56	7.53	304246	333887	  0.91	126	347	--  	
="600058"	五矿发展	6.54	15.65	0.96	15.63	15.64	554105	100	1.09	          5.17	14.70	15.93	14.63	14.69	    71.21	851953984	  2.42	商贸代理	北京	8.85	15.38	250166	303938	  0.82	909	148	--  	
="600331"	宏达股份	5.62	6.77	0.36	6.77	6.78	729634	58	-0.14	          7.07	6.38	6.95	6.33	6.41	--  	490073632	  1.59	铅锌	四川	9.67	6.72	370065	359569	  1.03	1685	3323	--  	
="600763"	通策医疗	5.33	52.98	2.68	52.98	53.00	21918	1	0.03	          1.37	50.05	53.50	49.00	50.30	    70.07	111302024	  2.12	医疗保健	浙江	8.95	50.78	10814	11104	  0.97	37	30	--  	
="600018"	上港集团	5.00	6.09	0.29	6.08	6.09	2436579	562	0.32	          1.07	5.82	6.21	5.75	5.80	    22.21	1446611456	  2.39	港口	上海	7.93	5.94	1168068	1268510	  0.92	8232	255	--  	
="000159"	国际实业	4.69	10.93	0.49	10.93	10.94	349297	3757	-0.09	          7.26	10.45	11.07	10.26	10.44	    60.80	371878592	  1.63	石油贸易	新疆	7.76	10.65	167360	181937	  0.92	2150	96	--  	
="002534"	杭锅股份	4.55	19.98	0.87	19.98	19.99	51548	2595	0.60	          1.32	18.95	20.02	18.47	19.11	    61.41	98229144	  1.70	专用机械	浙江	8.11	19.06	21950	29598	  0.74	2481	577	--  	
="000752"	西藏发展	4.07	14.59	0.57	14.59	14.60	122072	1501	0.06	          4.63	14.03	14.61	14.02	14.02	   212.73	174663376	  1.39	啤酒	西藏	4.21	14.31	45315	76756	  0.59	306	1144	--  	
="600016"	民生银行	3.92	8.22	0.31	8.23	8.24	18368980	8106	0.12	          6.78	8.08	8.68	8.04	7.91	     5.71	15244498944	  1.91	银行	北京	8.09	8.30	8707685	9661295	  0.90	2563	6678	--  	
="600098"	广州发展	3.79	7.12	0.26	7.12	7.13	369670	5	0.00	          1.52	6.90	7.15	6.82	6.86	    14.43	258772160	  1.41	火力发电	广东	4.81	7.00	190342	179328	  1.06	50	740	--  	
="601137"	博威合金	3.75	22.70	0.82	22.70	22.71	61722	47	0.13	          2.87	21.88	22.80	21.47	21.88	    72.14	137896608	  1.38	铜	浙江	6.08	22.34	31624	30098	  1.05	99	5	--  	
="000525"	红 太 阳	3.42	17.25	0.57	17.25	17.26	225615	1513	0.23	          4.45	16.66	17.64	16.35	16.68	    16.49	381723264	  2.33	农药化肥	江苏	7.73	16.92	118361	107253	  1.10	96	161	--  	
="002013"	中航机电	3.24	21.67	0.68	21.67	21.68	197613	959	0.09	          6.75	20.93	21.78	20.30	20.99	    49.97	413792928	  0.90	汽车配件	湖北	7.05	20.94	94739	102874	  0.92	127	447	--  	
="600275"	武昌鱼	3.19	5.82	0.18	5.81	5.82	248966	130	0.69	          4.89	5.63	5.92	5.56	5.64	--  	143328544	  1.79	农业综合	湖北	6.38	5.76	120354	128611	  0.94	150	235	--  	
="000926"	福星股份	3.02	9.55	0.28	9.55	9.56	525729	3444	0.00	          9.95	9.29	10.15	9.29	9.27	     8.80	509023424	  1.59	区域地产	湖北	9.28	9.68	275040	250689	  1.10	164	997	--  	
="600483"	福能股份	2.73	10.52	0.28	10.51	10.52	113977	60	0.00	          3.95	10.47	10.77	10.40	10.24	    18.45	120904848	  1.34	火力发电	福建	3.61	10.61	57498	56478	  1.02	545	173	--  	
="000333"	美的集团	2.73	25.20	0.67	25.20	25.21	816950	3910	0.15	          3.65	24.83	26.54	24.31	24.53	     8.90	2085027840	  1.91	家用电器	广东	9.09	25.52	396515	420434	  0.94	258	39	--  	
="600005"	武钢股份	2.71	3.03	0.08	3.02	3.03	2947991	153	0.33	          2.92	2.95	3.14	2.94	2.95	    29.77	895592192	  1.66	普钢	湖北	6.78	3.04	1256717	1691274	  0.74	4640	8113	--  	
="600795"	国电电力	2.61	3.14	0.08	3.13	3.14	5527965	1607	0.64	          3.59	3.07	3.22	3.07	3.06	     7.93	1738599168	  1.58	火力发电	辽宁	4.90	3.15	2605662	2922303	  0.89	15684	12057	--  	
="300345"	红宇新材	2.57	23.58	0.59	23.58	23.60	36659	200	-0.08	          5.93	22.80	24.49	22.60	22.99	   962.39	86866992	  1.11	钢加工	湖南	8.22	23.70	16238	20420	  0.80	12	2	--  	
="300346"	南大光电	2.44	38.70	0.92	38.70	38.72	14934	91	-0.07	          4.17	37.98	38.80	36.88	37.78	    81.82	56248028	  1.27	半导体	江苏	5.08	37.66	7860	7073	  1.11	168	99	--  	
="600720"	祁连山	2.38	9.04	0.21	9.04	9.05	603655	20	0.22	          7.78	8.86	9.27	8.85	8.83	     8.29	548063232	  1.71	水泥	甘肃	4.76	9.08	307200	296455	  1.04	357	1562	--  	
="600532"	宏达矿业	2.33	10.99	0.25	10.99	11.00	96345	1	0.18	          5.84	10.82	11.24	10.60	10.74	    27.91	105482384	  1.51	普钢	山东	5.96	10.95	48587	47757	  1.02	19	576	--  	
="600801"	华新水泥	2.30	8.90	0.20	8.90	8.91	456637	274	0.45	          4.70	8.71	9.20	8.70	8.70	    12.26	407756864	  1.50	水泥	湖北	5.75	8.93	219947	236690	  0.93	407	687	--  	
="002563"	森马服饰	2.28	38.55	0.86	38.53	38.55	14359	324	-0.02	          2.05	37.80	38.80	37.60	37.69	    28.86	54747084	  1.42	服饰	浙江	3.18	38.13	6499	7860	  0.83	1	1	--  	
="600673"	东阳光科	2.28	16.60	0.37	16.58	16.60	152740	22	0.36	          1.86	16.37	16.86	16.23	16.23	   105.50	252932480	  1.11	铝	广东	3.88	16.56	73077	79662	  0.92	30	49	--  	
="002294"	信立泰	2.28	36.35	0.81	36.35	36.36	62668	941	0.08	          2.18	35.57	36.35	35.06	35.54	    23.72	223113744	  1.21	化学制药	深圳	3.63	35.60	27696	34971	  0.79	492	71	--  	
="000966"	长源电力	2.15	10.44	0.22	10.43	10.44	199397	2984	0.09	          3.60	10.24	10.45	10.05	10.22	     6.98	205412608	  1.48	火力发电	湖北	3.91	10.30	108571	90826	  1.20	916	561	--  	
="000581"	威孚高科	2.06	27.68	0.56	27.67	27.68	220053	1123	0.07	          3.24	27.20	27.72	27.03	27.12	    17.09	603975808	  1.66	汽车配件	江苏	2.54	27.45	91824	128228	  0.72	1009	619	--  	
="002661"	克明面业	2.04	41.60	0.83	41.60	41.61	15169	262	0.07	          7.10	40.92	41.62	39.80	40.77	    41.86	61995264	  1.24	食品	湖南	4.46	40.87	7371	7798	  0.95	277	87	--  	
="600196"	复星医药	1.98	21.14	0.41	21.12	21.13	518101	33	0.28	          2.72	20.72	21.42	20.57	20.73	    23.28	1092797824	  1.30	化学制药	上海	4.10	21.09	245242	272858	  0.90	57	169	--  	
="000877"	天山股份	1.96	8.34	0.16	8.33	8.34	540367	3801	0.12	          6.14	8.18	8.45	8.15	8.18	    17.92	449788320	  1.56	水泥	新疆	3.67	8.32	274207	266160	  1.03	3965	4198	--  	
="600375"	华菱星马	1.95	13.07	0.25	13.08	13.09	181552	85	0.61	          3.65	12.90	13.23	12.73	12.82	    51.76	235022384	  1.22	汽车整车	安徽	3.90	12.95	92000	89552	  1.03	67	351	--  	
="600019"	宝钢股份	1.81	5.63	0.10	5.63	5.64	2831062	114	0.17	          1.72	5.52	5.97	5.48	5.53	    13.88	1618687232	  1.63	普钢	上海	8.86	5.72	1474489	1356573	  1.09	3926	2327	--  	
="600970"	中材国际	1.75	10.47	0.18	10.47	10.48	425098	5	0.28	          3.89	10.39	10.68	10.29	10.29	    17.39	445215872	  1.12	建筑施工	江苏	3.79	10.47	212860	212237	  1.00	440	274	--  	
="002160"	*ST常铝	1.75	6.41	0.11	6.40	6.41	142722	1008	0.15	          4.40	6.28	6.49	6.12	6.30	   108.84	90151088	  1.46	铝	江苏	5.87	6.32	69648	73074	  0.95	855	375	--  	
="600875"	东方电气	1.72	17.16	0.29	17.16	17.17	456647	12	0.11	          2.74	17.00	17.45	16.68	16.87	    23.67	775881152	  1.51	电气设备	四川	4.56	16.99	229993	226654	  1.01	399	335	--  	
="601668"	中国建筑	1.58	4.49	0.07	4.48	4.49	10294877	5	0.22	          3.45	4.50	4.70	4.38	4.42	     5.98	4693353984	  1.51	建筑施工	北京	7.24	4.56	4878681	5416195	  0.90	12206	3260	--  	
="600170"	上海建工	1.56	6.52	0.10	6.52	6.53	1075118	85	0.15	          9.78	6.43	6.62	6.30	6.42	    16.71	695739392	  1.08	建筑施工	上海	4.98	6.47	550014	525103	  1.05	1190	5597	--  	
="600335"	国机汽车	1.53	21.25	0.32	21.28	21.29	85707	10	0.42	          1.53	20.81	21.47	20.01	20.93	    15.99	178224848	  0.96	汽车配件	天津	6.98	20.79	42507	43200	  0.98	376	140	--  	
="600655"	豫园商城	1.44	11.98	0.17	11.98	12.00	217758	100	-0.08	          1.52	11.84	12.08	11.72	11.81	    22.12	259402832	  0.92	百货	上海	3.05	11.91	99101	118657	  0.84	233	783	--  	
="601318"	中国平安	1.33	55.01	0.72	55.00	55.01	2454289	285	0.01	          5.13	54.70	57.21	53.75	54.29	    10.31	13671460864	  1.26	保险	深圳	6.37	55.70	1237856	1216432	  1.02	30	9	--  	
="000545"	金浦钛业	1.20	14.37	0.17	14.37	14.39	85043	213	-0.34	          5.44	14.20	14.68	14.07	14.20	   119.48	122073128	  1.14	化工原料	吉林	4.30	14.35	42381	42662	  0.99	160	139	--  	
