代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="000999"	华润三九	-2.07	23.70	-0.50	23.69	23.70	77764	586	0.12	          0.80	24.22	24.42	23.56	24.20	    22.06	185315008	  0.98	中成药	深圳	3.55	23.83	51053	26711	  1.91	25	578	--  	      97774.22	
="002200"	云投生态	-2.08	17.85	-0.38	17.84	17.85	23134	123	0.00	          2.15	18.08	18.21	17.84	18.23	--  	41563724	  1.00	环境保护	云南	2.03	17.97	16822	6311	  2.67	271	3	--  	      10782.91	
="600398"	海澜之家	-2.14	11.41	-0.25	11.41	11.42	107527	10	0.61	          1.66	11.75	11.80	11.31	11.66	    23.84	122711056	  0.67	服饰	江苏	4.20	11.41	56038	51488	  1.09	1	48	--  	      64660.41	
="601010"	文峰股份	-2.19	10.74	-0.24	10.74	10.75	49189	1	-0.18	          0.67	11.05	11.06	10.74	10.98	    18.32	53620060	  0.85	超市连锁	江苏	2.91	10.90	31654	17534	  1.81	294	186	--  	      73920.00	
="600326"	西藏天路	-2.19	8.93	-0.20	8.94	8.95	174791	37	-0.77	          3.19	9.12	9.19	8.91	9.13	    71.85	157638816	  1.04	建筑施工	西藏	3.07	9.02	97368	77423	  1.26	96	150	--  	      54720.00	
="300313"	天山生物	-2.23	22.78	-0.52	22.78	22.79	15994	369	0.00	          3.83	23.37	23.57	22.62	23.30	   248.69	36709972	  0.46	农业综合	新疆	4.08	22.95	9969	6024	  1.65	7	250	--  	       4177.81	
="600626"	申达股份	-2.31	12.69	-0.30	12.70	12.71	297351	20	0.00	          4.19	12.90	13.07	12.63	12.99	    65.67	379763264	  0.57	纺织	上海	3.39	12.77	171673	125677	  1.37	744	10	--  	      71024.28	
="000501"	鄂武商Ａ	-2.36	16.56	-0.40	16.55	16.56	35173	287	-0.12	          0.69	16.88	17.02	16.56	16.96	    13.00	58859744	  0.81	百货	湖北	2.71	16.73	20779	14394	  1.44	176	200	--  	      50718.42	
="000738"	中航动控	-2.40	18.72	-0.46	18.71	18.72	344954	3512	-0.42	          3.01	19.18	19.76	18.68	19.18	   103.55	666033856	  1.38	航空	江苏	5.63	19.31	178381	166573	  1.07	999	846	--  	     114564.22	
="002202"	金风科技	-2.46	14.30	-0.36	14.30	14.31	317997	2834	0.00	          1.49	14.71	14.79	14.27	14.66	    24.19	461181216	  1.06	电气设备	新疆	3.55	14.50	178177	139820	  1.27	3096	337	--  	     213853.45	
="002375"	亚厦股份	-2.46	21.78	-0.55	21.78	21.90	142377	2735	-0.77	          4.14	22.26	22.50	21.77	22.33	    19.92	315789056	  1.14	装修装饰	浙江	3.27	22.18	72875	69501	  1.05	4356	4	--  	      34353.73	
="002436"	兴森科技	-2.49	36.77	-0.94	36.70	36.77	19004	259	-0.21	          1.24	38.10	38.49	36.60	37.71	    59.78	71401336	  0.85	元器件	深圳	5.01	37.57	11829	7175	  1.65	50	89	--  	      15335.95	
="000737"	南风化工	-2.55	5.35	-0.14	5.35	5.36	128073	1740	-0.37	          2.33	5.49	5.54	5.35	5.49	--  	69599376	  0.57	日用化工	山西	3.46	5.43	79811	48262	  1.65	1991	415	--  	      54873.12	
="000957"	中通客车	-2.70	15.47	-0.43	15.47	15.48	54500	779	-0.19	          2.29	15.91	15.98	15.46	15.90	     9.97	85807688	  0.65	汽车整车	山东	3.27	15.74	22977	31522	  0.73	205	30	--  	      23847.91	
="600268"	国电南自	-2.71	7.89	-0.22	7.89	7.90	98522	105	0.12	          1.55	8.07	8.18	7.85	8.11	--  	78826176	  0.74	电气设备	江苏	4.07	8.00	63512	35010	  1.81	268	307	--  	      63524.64	
="000860"	顺鑫农业	-2.73	19.99	-0.56	19.99	20.00	100467	421	-0.05	          2.29	20.60	20.60	19.89	20.55	    30.29	201982432	  1.45	农业综合	北京	3.45	20.10	61710	38756	  1.59	18	508	--  	      43852.50	
="002482"	广田股份	-2.74	18.08	-0.51	18.07	18.08	82620	912	-0.16	          1.82	18.65	18.71	18.00	18.59	    21.82	151586944	  1.37	装修装饰	深圳	3.82	18.35	53334	29286	  1.82	355	626	--  	      45321.30	
="600436"	片仔癀	-2.79	101.02	-2.90	100.80	101.08	30643	5	0.05	          1.90	104.50	104.55	99.06	103.92	    40.80	308878400	  1.30	中成药	福建	5.28	100.80	18190	12453	  1.46	4	2	--  	      16088.45	
="601678"	滨化股份	-2.82	10.34	-0.30	10.34	10.35	114572	54	-0.28	          1.74	10.62	10.65	10.34	10.64	    16.21	120028232	  0.85	化工原料	山东	2.91	10.48	70460	44111	  1.60	213	693	--  	      66000.00	
="600596"	新安股份	-2.91	11.02	-0.33	11.01	11.02	183278	52	0.00	          2.70	11.35	11.37	11.00	11.35	    59.46	204191728	  0.70	农药化肥	浙江	3.26	11.14	110834	72443	  1.53	469	49	--  	      67918.46	
="002391"	长青股份	-3.00	17.46	-0.54	17.45	17.46	62558	880	-0.11	          4.04	18.02	18.10	17.42	18.00	    23.32	110748296	  1.21	农药化肥	江苏	3.78	17.70	41969	20588	  2.04	160	505	--  	      15483.11	
="300217"	东方电热	-3.11	12.16	-0.39	12.16	12.17	134865	1006	0.08	          6.27	12.54	12.83	12.12	12.55	    50.07	166878784	  0.87	电器仪表	江苏	5.66	12.37	77628	57237	  1.36	358	416	--  	      21497.27	
="002469"	三维工程	-3.43	15.20	-0.54	15.20	15.22	132341	3542	-0.19	          5.25	15.75	15.89	15.17	15.74	    37.73	204836512	  0.87	建筑施工	山东	4.57	15.48	83141	49200	  1.69	7	4	--  	      25195.47	
="002572"	索菲亚	-3.53	24.63	-0.90	24.63	24.65	40271	1360	-0.28	          1.60	25.64	25.64	24.39	25.53	    41.13	100493328	  1.25	家居用品	广东	4.90	24.95	26826	13444	  2.00	6	25	--  	      25138.69	
="002078"	太阳纸业	-3.74	4.37	-0.17	4.36	4.37	522310	9080	-0.22	          2.64	4.55	4.58	4.36	4.54	    24.00	233096592	  0.95	造纸	山东	4.85	4.46	325327	196983	  1.65	6783	1443	--  	     197669.13	
数据来源:通达信
