代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="603698"	N航天	44.01	18.03	5.51	18.03	--  	623	10	0.00	          0.08	15.02	18.03	15.02	12.52	    33.76	1119958	0.00	专用机械	北京	24.04	17.98	618	5	123.60	190475	0	--  	       8230.00	
="603611"	N诺力	43.98	26.45	8.08	26.45	--  	270	10	0.00	          0.14	22.04	26.45	22.04	18.37	    25.76	705330	0.00	运输设备	浙江	24.01	26.12	260	10	 26.00	58005	0	--  	       2000.00	
="000861"	海印股份	10.06	9.63	0.88	9.63	--  	477929	1466	0.00	          5.70	8.73	9.63	8.68	8.75	    65.55	451846176	  3.18	房产服务	广东	10.86	9.45	230547	247382	  0.93	12177	0	--  	      83775.50	
="601519"	大智慧	10.05	8.76	0.80	8.76	--  	6453	5	0.00	          0.03	8.76	8.76	8.76	7.96	   149.93	5652504	  0.12	软件服务	上海	0.00	8.76	5809	643	  9.03	2213159	0	--  	     198770.00	
="000413"	东旭光电	10.04	8.44	0.77	8.44	--  	58887	266	0.00	          0.29	8.44	8.44	8.44	7.67	    27.88	49701024	  0.12	元器件	河北	0.00	8.44	51169	7718	  6.63	1050200	0	--  	     201866.91	
="600986"	科达股份	10.04	12.50	1.14	12.50	--  	348386	89	0.00	         10.39	12.50	12.50	12.13	11.36	    65.40	434008288	 90.73	建筑施工	山东	3.26	12.46	297304	51081	  5.82	112234	0	--  	      33526.96	
="300221"	银禧科技	10.03	16.01	1.46	16.01	--  	30020	20	0.00	          1.75	16.01	16.01	15.72	14.55	   123.97	47981448	  0.76	塑料	广东	1.99	15.98	17665	12355	  1.43	26015	0	--  	      17187.50	
="603601"	再升科技	10.03	16.67	1.52	16.67	--  	184	10	0.00	          0.11	16.67	16.67	16.67	15.15	    26.93	306728	0.00	玻璃	重庆	0.00	16.67	160	24	  6.67	53517	0	--  	       1700.00	
="603678"	火炬电子	10.03	18.10	1.65	18.10	--  	229	10	0.00	          0.06	18.10	18.10	18.10	16.45	    21.62	414490	  0.95	元器件	福建	0.00	18.10	208	21	  9.90	68459	0	--  	       4160.00	
="002052"	同洲电子	10.03	11.52	1.05	11.52	--  	897146	3518	0.00	         17.29	10.51	11.52	10.40	10.47	--  	1006825664	  3.84	通信设备	深圳	10.70	11.22	435101	462045	  0.94	35423	0	--  	      51878.60	
="300364"	中文在线	10.02	15.81	1.44	15.81	--  	247	5	0.00	          0.08	15.81	15.81	15.81	14.37	    41.61	390507	0.00	出版业	北京	0.00	15.81	206	41	  5.02	92287	0	--  	       3000.00	
="300130"	新国都	10.02	31.52	2.87	31.52	--  	42809	81	0.00	          5.81	29.22	31.52	29.20	28.65	    61.53	132188096	  1.58	电脑设备	深圳	8.10	30.88	22394	20414	  1.10	24041	0	--  	       7369.87	
="300279"	和晶科技	10.02	28.34	2.58	28.34	--  	91597	104	0.00	         12.96	25.95	28.34	25.68	25.76	   154.46	254480736	  2.53	元器件	江苏	10.33	27.78	57918	33679	  1.72	3039	0	--  	       7065.50	
="600742"	一汽富维	10.01	33.30	3.03	33.30	--  	188510	30	0.00	          8.91	31.01	33.30	31.01	30.27	    13.26	614986432	  3.89	汽车配件	吉林	7.57	32.62	90043	98467	  0.91	117	0	--  	      21152.33	
="002590"	万安科技	10.01	14.62	1.33	14.62	--  	12537	29	0.00	          0.70	14.62	14.62	14.62	13.29	    46.41	18329108	  0.74	汽车配件	浙江	0.00	14.62	11585	952	 12.17	73723	0	--  	      17945.35	
="002734"	利民股份	10.01	16.93	1.54	16.93	--  	140	5	0.00	          0.06	16.93	16.93	16.93	15.39	    34.00	237037	  0.58	农药化肥	江苏	0.00	16.93	124	16	  7.75	79368	0	--  	       2500.00	
="002740"	爱迪尔	10.01	34.74	3.16	34.74	--  	2445	8	0.00	          0.98	34.74	34.74	34.74	31.58	    39.55	8495320	 10.19	服饰	深圳	0.00	34.74	1946	499	  3.90	13590	0	--  	       2500.00	
="300359"	全通教育	10.01	96.97	8.82	96.97	--  	2189	13	0.00	          0.90	96.97	96.97	96.97	88.15	   226.26	21222854	  0.13	文教休闲	广东	0.00	96.97	1846	342	  5.40	47804	0	--  	       2445.00	
="002713"	东易日盛	10.01	42.44	3.86	42.44	--  	17291	19	0.00	          5.54	40.38	42.44	40.38	38.58	   157.01	71934768	  1.39	装修装饰	北京	5.34	41.60	9888	7402	  1.34	8547	0	--  	       3121.01	
="002522"	浙江众成	10.01	21.88	1.99	21.88	--  	95805	952	0.00	          4.29	19.80	21.88	19.38	19.89	   181.32	199785936	  2.01	塑料	浙江	12.57	20.85	42485	53319	  0.80	2518	0	--  	      22336.58	
="601021"	春秋航空	10.00	42.13	3.83	42.13	--  	25741	15	0.00	          2.57	42.13	42.13	42.13	38.30	    19.22	108446704	  5.96	空运	上海	0.00	42.13	19152	6588	  2.91	137396	0	--  	      10000.00	
="600981"	汇鸿股份	10.00	6.16	0.56	6.16	--  	2013	2	0.00	          0.04	6.16	6.16	6.16	5.60	   135.32	1239903	  0.18	商贸代理	江苏	0.00	6.16	1696	316	  5.37	153809	0	--  	      51610.64	
="600642"	申能股份	10.00	7.04	0.64	7.04	--  	1504653	382	0.00	          3.31	6.45	7.04	6.40	6.40	    16.89	1038953472	  2.57	火力发电	上海	10.00	6.90	859515	645137	  1.33	498023	0	--  	     455203.84	
="300418"	昆仑万维	10.00	47.08	4.28	47.08	--  	1396	17	0.00	          0.20	47.08	47.08	47.08	42.80	    39.74	6570014	  2.91	互联网	北京	0.00	47.08	1170	225	  5.20	69016	0	--  	       7000.00	
="300416"	苏试试验	10.00	24.20	2.20	24.20	--  	133	5	0.00	          0.08	24.20	24.20	24.20	22.00	    38.19	320650	0.00	电器仪表	江苏	0.00	24.20	111	21	  5.29	24188	0	--  	       1570.00	
="300350"	华鹏飞	10.00	21.67	1.97	21.67	--  	280	3	0.00	          0.12	21.67	21.67	21.67	19.70	    57.49	606565	  0.03	仓储物流	深圳	0.00	21.67	243	36	  6.75	29237	0	--  	       2412.05	
="002009"	天奇股份	10.00	17.93	1.63	17.93	--  	323247	337	0.00	         12.44	17.93	17.93	17.21	16.30	    52.67	574846272	  7.88	工程机械	江苏	4.42	17.78	184292	138955	  1.33	45403	0	--  	      25991.22	
="000627"	天茂集团	10.00	9.68	0.88	9.68	--  	130830	1168	0.00	          0.97	9.68	9.68	9.68	8.80	    66.98	126643856	  2.77	化工原料	湖北	0.00	9.68	113106	17724	  6.38	1066918	0	--  	     135358.98	
="002739"	万达院线	10.00	45.00	4.09	45.00	--  	287	5	0.00	          0.05	45.00	45.00	45.00	40.91	    31.47	1291500	0.00	影视音像	北京	0.00	45.00	266	21	 12.67	107881	0	--  	       6000.00	
="300419"	浩丰科技	10.00	60.74	5.52	60.74	--  	160	5	0.00	          0.16	60.74	60.74	60.74	55.22	    46.39	971840	0.00	软件服务	北京	0.00	60.74	126	34	  3.71	10656	0	--  	       1030.00	
="300415"	伊之密	10.00	25.53	2.32	25.53	--  	247	2	0.00	          0.08	25.53	25.53	25.53	23.21	    39.51	630591	0.00	专用机械	广东	0.00	25.53	220	27	  8.15	16860	0	--  	       3000.00	
="002738"	中矿资源	9.99	41.38	3.76	41.38	--  	145762	105	0.00	         48.59	37.12	41.38	37.12	37.62	   113.69	589029504	  1.13	建筑施工	北京	11.32	40.41	84869	60892	  1.39	29377	0	--  	       3000.00	
="603600"	永艺股份	9.99	19.59	1.78	19.59	--  	544	5	0.00	          0.22	19.59	19.59	19.59	17.81	    33.77	1065696	  2.27	家居用品	浙江	0.00	19.59	478	66	  7.24	21666	0	--  	       2500.00	
="603558"	健盛集团	9.99	30.49	2.77	30.49	--  	215	5	0.00	          0.11	30.49	30.49	30.49	27.72	    28.59	655535	  0.90	纺织	浙江	0.00	30.49	198	17	 11.65	25802	0	--  	       2000.00	
