代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="000690"	宝新能源	2.28	6.27	0.14	6.27	6.28	294237	2583	0.00	          1.72	6.22	6.28	6.10	6.13	     9.75	182219808	  0.94	火力发电	广东	2.94	
="600085"	同仁堂	2.23	23.39	0.51	23.36	23.38	109779	26	0.25	          0.84	22.95	23.59	22.95	22.88	    39.70	255217984	  0.94	中成药	北京	2.80	
="002155"	辰州矿业	2.12	10.61	0.22	10.61	10.62	273840	3648	0.18	          2.75	10.44	10.68	10.29	10.39	    76.95	287513184	  0.87	黄金	湖南	3.75	
="600105"	永鼎股份	2.03	9.03	0.18	9.03	9.04	114120	275	0.00	          3.00	8.88	9.05	8.71	8.85	    20.36	101878816	  0.60	通信设备	江苏	3.84	
="000713"	丰乐种业	2.01	10.65	0.21	10.65	10.66	88251	1914	0.28	          2.95	10.41	10.68	10.41	10.44	--  	93220120	  0.83	种植业	安徽	2.59	
="000538"	云南白药	1.91	63.90	1.20	63.90	63.91	88646	1392	0.07	          0.85	62.85	63.98	62.85	62.70	    25.66	562294656	  1.22	中成药	云南	1.80	
="600089"	特变电工	1.74	12.87	0.22	12.87	12.89	1220814	624	0.31	          3.86	12.65	12.93	12.52	12.65	    22.67	1560959104	  1.20	电气设备	新疆	3.24	
="601010"	文峰股份	1.64	9.93	0.16	9.93	9.94	61175	595	-0.10	          0.83	9.88	10.06	9.78	9.77	    16.94	60818068	  0.84	超市连锁	江苏	2.87	
="000404"	华意压缩	1.61	7.59	0.12	7.59	7.60	157233	1424	0.13	          3.17	7.48	7.61	7.43	7.47	    19.79	118640776	  0.82	专用机械	江西	2.41	
="600489"	中金黄金	1.57	12.30	0.19	12.31	12.32	913859	14	0.24	          3.10	12.10	12.44	11.82	12.11	    69.08	1111092096	  0.92	黄金	北京	5.12	
="000729"	燕京啤酒	1.38	8.10	0.11	8.10	8.16	198263	13732	-0.73	          0.79	8.05	8.21	8.02	7.99	    18.64	161122112	  0.90	啤酒	北京	2.38	
="600697"	欧亚集团	0.98	25.84	0.25	25.83	25.85	20217	1	-0.03	          1.30	25.59	26.12	25.30	25.59	    16.65	51953488	  0.55	百货	吉林	3.20	
="600535"	天士力	0.50	42.38	0.21	42.34	42.39	127378	152	0.21	          1.23	42.30	42.68	41.82	42.17	    28.79	537493312	  1.54	中成药	天津	2.04	
="601398"	工商银行	0.00	4.64	0.00	4.63	4.64	6479209	70	-0.21	          0.24	4.66	4.74	4.53	4.64	     5.58	3017983744	  1.01	银行	北京	4.53	
="600986"	科达股份	0.00	7.05	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.05	    36.88	0	  0.00	建筑施工	山东	0.00	
="600981"	汇鸿股份	0.00	4.21	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.21	    92.48	0	  0.00	商贸代理	江苏	0.00	
="600858"	银座股份	0.00	9.83	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.83	    19.34	0	  0.00	百货	山东	0.00	
="600749"	西藏旅游	0.00	12.18	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.18	  1161.76	0	  0.00	旅游景点	西藏	0.00	
="600704"	物产中大	0.00	10.38	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.38	    23.97	0	  0.00	商贸代理	浙江	0.00	
="600575"	皖江物流	0.00	4.11	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.11	--  	0	  0.00	水运	安徽	0.00	
="600365"	通葡股份	0.00	11.38	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.38	  5686.21	0	  0.00	红黄药酒	吉林	0.00	
="600326"	西藏天路	0.00	8.74	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.74	    70.32	0	  0.00	建筑施工	西藏	0.00	
="600318"	巢东股份	0.00	11.20	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.20	    17.93	0	  0.00	水泥	安徽	0.00	
="600241"	时代万恒	0.00	8.28	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.28	--  	0	  0.00	商贸代理	辽宁	0.00	
="600103"	青山纸业	0.00	3.66	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	3.66	   601.14	0	  0.00	造纸	福建	0.00	
="600090"	啤酒花	0.00	8.13	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.13	    36.46	0	  0.00	啤酒	新疆	0.00	
