代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="002517"	泰亚股份	0.80	15.10	0.12	15.10	15.11	51671	628	-0.26	          2.92	14.90	15.48	14.21	14.98	--  	75669632	  0.92	服饰	福建	8.48	14.64	31427	20243	  1.55	230	196	--  	      17680.00	
="601999"	出版传媒	0.79	12.74	0.10	12.74	12.75	373955	10	0.95	          6.79	12.32	13.64	12.21	12.64	   113.25	488457440	  1.32	出版业	辽宁	11.31	13.06	182870	191085	  0.96	343	594	--  	      55091.46	
="600757"	长江传媒	0.74	9.51	0.07	9.53	9.54	667208	104	0.31	         12.73	9.35	9.77	9.20	9.44	    34.13	639925248	  1.73	出版业	湖北	6.04	9.59	326433	340774	  0.96	891	185	--  	      52410.60	
="601018"	宁波港	0.72	4.19	0.03	4.19	4.20	5029444	2127	0.72	          3.93	4.18	4.58	4.11	4.16	    16.92	2215184384	  2.46	港口	浙江	11.30	4.40	2253693	2775750	  0.81	5702	605	--  	    1280000.00	
="300294"	博雅生物	0.67	67.45	0.45	67.45	67.50	12999	131	0.13	          4.08	66.40	69.44	66.00	67.00	    54.03	87648408	  0.86	生物制药	江西	5.13	67.42	7026	5973	  1.18	4	5	--  	       3188.44	
="002064"	华峰氨纶	0.67	10.52	0.07	10.52	10.53	383974	3939	-0.37	          5.76	10.64	10.97	10.50	10.45	    21.93	412524768	  1.40	化纤	浙江	4.50	10.74	199053	184920	  1.08	936	694	--  	      66669.71	
="601798"	蓝科高新	0.62	13.08	0.08	13.09	13.10	108152	40	-0.45	          3.05	13.06	13.57	13.05	13.00	   100.98	144253760	  1.57	化工机械	甘肃	4.00	13.34	51997	56155	  0.93	54	340	--  	      35452.82	
="000691"	亚太实业	0.61	6.58	0.04	6.58	6.59	165884	1789	0.30	          5.71	6.55	6.71	6.38	6.54	--  	107957536	  0.94	区域地产	海南	5.05	6.51	82081	83802	  0.98	264	206	--  	      29048.63	
="600153"	建发股份	0.61	9.89	0.06	9.92	9.94	2295040	34	0.50	          8.09	10.30	10.81	9.71	9.83	    13.36	2397209600	  1.96	商贸代理	福建	11.19	10.45	1081464	1213575	  0.89	119	298	--  	     283520.06	
="600371"	万向德农	0.61	13.22	0.08	13.22	13.23	138623	70	0.22	          6.78	13.19	13.65	13.04	13.14	--  	185146448	  1.50	种植业	黑龙江	4.64	13.36	75994	62628	  1.21	113	35	--  	      20460.00	
="600268"	国电南自	0.58	6.88	0.04	6.88	6.89	256165	1	-0.28	          4.03	6.84	7.13	6.70	6.84	--  	178462928	  2.00	电气设备	江苏	6.29	6.97	127486	128679	  0.99	10	166	--  	      63524.64	
="600033"	福建高速	0.58	3.46	0.02	3.47	3.48	1941239	126	1.16	          7.07	3.47	3.78	3.40	3.44	    14.27	694479552	  2.04	路桥	福建	11.05	3.58	950139	991100	  0.96	2079	1242	--  	     274440.00	
="600712"	南宁百货	0.57	5.26	0.03	5.25	5.26	250866	5	0.19	          4.67	5.22	5.64	5.19	5.23	  1013.47	135934560	  2.01	百货	广西	8.60	5.42	139510	111356	  1.25	648	46	--  	      53772.91	
="601928"	凤凰传媒	0.57	10.67	0.06	10.69	10.70	1119353	12	0.18	         17.01	11.38	11.38	10.10	10.61	    27.73	1236193664	  3.58	出版业	江苏	12.06	11.04	586248	533104	  1.10	24	944	--  	      65788.35	
="000930"	中粮生化	0.56	7.16	0.04	7.16	7.17	1181182	10943	0.00	         12.25	7.12	7.83	7.02	7.12	   159.55	883168064	  1.73	食品	安徽	11.38	7.48	554394	626787	  0.88	6450	5554	--  	      96441.10	
="002187"	广百股份	0.54	13.11	0.07	13.10	13.11	126975	881	-0.30	          3.78	13.60	14.03	13.10	13.04	    20.47	171581504	  1.43	百货	广东	7.13	13.51	72183	54792	  1.32	1206	654	--  	      33572.48	
="600668"	尖峰集团	0.52	13.66	0.07	13.65	13.67	306569	3	0.44	          8.92	13.59	14.45	13.31	13.59	    14.30	426849088	  1.92	水泥	浙江	8.39	13.92	152019	154549	  0.98	323	1041	--  	      34385.21	
="600125"	铁龙物流	0.50	8.04	0.04	8.04	8.05	840856	316	0.00	          6.44	7.94	8.62	7.88	8.00	    29.65	696689408	  1.67	铁路	辽宁	9.25	8.29	380182	460673	  0.83	162	183	--  	     130552.18	
="000559"	万向钱潮	0.50	14.15	0.07	14.15	14.16	1516401	11931	-0.35	          7.95	14.09	15.13	13.95	14.08	    39.62	2218547968	  1.99	汽车配件	浙江	8.38	14.63	736448	779952	  0.94	5464	978	--  	     190825.09	
="002252"	上海莱士	0.50	46.51	0.23	46.51	46.54	43806	687	1.55	          0.45	46.10	47.00	45.50	46.28	   133.19	203323504	  0.64	生物制药	上海	3.24	46.41	21339	22467	  0.95	154	2	--  	      97920.00	
="002136"	安 纳 达	0.49	10.20	0.05	10.20	10.21	61426	2379	-0.09	          2.88	10.15	10.44	10.05	10.15	--  	62809184	  0.92	化工原料	安徽	3.84	10.23	34428	26997	  1.28	400	144	--  	      21328.78	
="000088"	盐 田 港	0.49	10.35	0.05	10.35	10.36	1314099	13429	4.54	          6.77	10.90	11.33	9.88	10.30	    43.69	1448198656	  1.68	港口	深圳	14.08	11.02	641260	672839	  0.95	10197	183	--  	     194212.78	
="300104"	乐视网	0.46	37.03	0.17	37.03	37.04	448558	1561	0.05	          9.41	38.00	39.60	36.90	36.86	   107.09	1726618368	  3.98	互联网	北京	7.33	38.49	218258	230300	  0.95	1336	188	--  	      47648.89	
="000600"	建投能源	0.45	8.93	0.04	8.93	8.94	588167	4229	0.79	          6.44	8.91	9.78	8.81	8.89	     7.56	550224128	  1.81	火力发电	河北	10.91	9.35	297641	290525	  1.02	847	1	--  	      91358.03	
="600007"	中国国贸	0.43	13.95	0.06	13.96	14.01	113747	2	1.52	          1.13	13.80	14.67	13.39	13.89	    24.56	160315968	  1.22	园区开发	北京	9.22	14.09	63102	50645	  1.25	637	138	--  	     100728.25	
="002593"	日上集团	0.43	14.03	0.06	14.02	14.03	41269	637	1.44	          3.16	13.80	14.48	13.00	13.97	    70.19	56570500	  0.83	汽车配件	福建	10.59	13.71	19344	21925	  0.88	101	93	--  	      13042.04	
="000510"	金路集团	0.42	7.20	0.03	7.20	7.21	315422	4470	0.55	          5.18	7.18	7.48	7.13	7.17	--  	230002352	  1.47	化工原料	四川	4.88	7.29	152383	163038	  0.93	1969	378	--  	      60912.23	
="300009"	安科生物	0.42	16.81	0.07	16.80	16.81	63509	793	-0.05	          3.40	16.76	17.26	16.60	16.74	    44.59	107811240	  1.47	生物制药	安徽	3.94	16.98	34793	28716	  1.21	139	155	--  	      18655.17	
="600663"	陆家嘴	0.40	32.31	0.13	32.45	32.48	514920	5	0.34	          3.79	31.60	34.60	30.63	32.18	    45.87	1701675136	  1.64	园区开发	上海	12.34	33.05	252292	262628	  0.96	6	228	--  	     135808.41	
="002476"	宝莫股份	0.35	8.70	0.03	8.70	8.71	301155	2083	0.00	          4.98	9.00	9.25	8.68	8.67	   102.48	271161888	  1.95	化工原料	山东	6.57	9.00	154112	147043	  1.05	2556	278	--  	      60431.51	
="601929"	吉视传媒	0.34	11.66	0.04	11.69	11.70	402422	508	0.51	          6.13	11.65	12.08	11.42	11.62	    34.43	477227584	  1.65	影视音像	吉林	5.68	11.86	191147	211274	  0.90	78	167	--  	      65649.14	
="600773"	西藏城投	0.33	12.34	0.04	12.33	12.34	167957	11	1.23	          3.11	12.25	12.73	11.96	12.30	   136.47	207227808	  1.19	区域地产	西藏	6.26	12.34	82543	85414	  0.97	432	202	--  	      53963.89	
="002035"	华帝股份	0.30	13.50	0.04	13.50	13.51	91497	1558	-0.14	          3.08	13.50	13.95	13.21	13.46	    17.99	124601976	  1.60	家用电器	广东	5.50	13.62	44408	47089	  0.94	1165	11	--  	      29677.21	
="600279"	重庆港九	0.29	13.74	0.04	13.75	13.76	348717	23	-0.50	         10.19	13.95	14.82	13.51	13.70	    64.76	498318240	  2.30	港口	重庆	9.56	14.29	165414	183303	  0.90	291	31	--  	      34209.23	
="600535"	天士力	0.29	41.87	0.12	41.92	41.93	235346	4	0.69	          2.28	41.50	43.75	41.25	41.75	    28.45	997700736	  1.35	中成药	天津	5.99	42.39	114186	121159	  0.94	6	19	--  	     103284.27	
="000022"	深赤湾Ａ	0.28	21.55	0.06	21.55	21.56	205144	1548	3.20	          4.41	22.30	23.64	20.00	21.49	    28.42	471663232	  2.07	港口	深圳	16.94	22.99	104424	100720	  1.04	1946	3	--  	      46486.73	
="002624"	金磊股份	0.26	19.22	0.05	19.21	19.22	43202	665	-0.05	          2.75	19.52	20.25	19.17	19.17	--  	85656048	  2.43	其他建材	浙江	5.63	19.83	23194	20008	  1.16	19	460	--  	      15725.00	
="000017"	深中华A	0.26	7.81	0.02	7.81	7.82	98114	609	-0.12	          3.24	7.70	8.05	7.55	7.79	   953.19	76495376	  1.40	文教休闲	深圳	6.42	7.80	58120	39993	  1.45	888	239	--  	      30297.59	
="601012"	隆基股份	0.24	16.38	0.04	16.39	16.40	164620	5	0.30	          5.29	16.33	16.66	15.98	16.34	    35.07	266982640	  1.09	半导体	陕西	4.16	16.22	98562	66057	  1.49	65	38	--  	      31102.74	
="600152"	维科精华	0.24	8.23	0.02	8.22	8.23	162810	50	0.61	          5.55	8.18	8.38	8.02	8.21	--  	133474400	  1.21	纺织	浙江	4.38	8.20	80269	82541	  0.97	183	54	--  	      29349.41	
="600518"	康美药业	0.24	16.50	0.04	16.50	16.52	1152161	275	-0.18	          5.24	16.40	17.31	16.12	16.46	    18.16	1926355968	  1.46	中成药	广东	7.23	16.72	557572	594588	  0.94	1273	292	--  	     219871.45	
="000885"	同力水泥	0.23	8.72	0.02	8.72	8.73	75595	191	-0.34	          1.77	8.62	9.27	8.22	8.70	    29.34	66811136	  2.65	水泥	河南	12.07	8.84	44453	31141	  1.43	133	3	--  	      42679.92	
="000050"	深天马Ａ	0.23	22.17	0.05	22.17	22.18	492611	1824	-0.53	          8.58	22.00	23.83	21.50	22.12	    60.38	1116358016	  2.33	元器件	深圳	10.53	22.66	242337	250273	  0.97	381	10	--  	      57422.05	
="002080"	中材科技	0.22	13.55	0.03	13.55	13.56	142200	1569	0.22	          3.55	13.51	14.53	13.43	13.52	    56.73	198909040	  2.33	化纤	江苏	8.14	13.99	77435	64764	  1.20	235	125	--  	      40000.00	
="002066"	瑞泰科技	0.20	9.80	0.02	9.80	9.81	109536	611	0.40	          4.74	9.71	10.28	9.61	9.78	   208.86	109500456	  0.94	其他建材	北京	6.85	10.00	55655	53881	  1.03	956	138	--  	      23100.00	
="002510"	天汽模	0.20	10.20	0.02	10.19	10.20	136561	720	-0.29	          4.43	10.17	10.44	10.03	10.18	    32.94	139290912	  1.31	汽车配件	天津	4.03	10.20	73765	62796	  1.17	1522	316	--  	      30808.71	
="000895"	双汇发展	0.16	30.45	0.05	30.45	30.48	567806	3581	0.32	          4.69	30.31	32.45	29.88	30.40	    15.89	1762971648	  1.38	食品	河南	8.45	31.05	283778	284027	  1.00	2771	24	--  	     121172.90	
="002578"	闽发铝业	0.16	18.72	0.03	18.72	18.77	61409	490	0.16	          6.90	18.58	20.56	18.50	18.69	    85.05	119834272	  1.19	铝	福建	11.02	19.51	32458	28950	  1.12	66	29	--  	       8903.00	
="002250"	联化科技	0.14	14.07	0.02	14.06	14.07	166369	764	0.07	          3.11	14.05	14.25	14.00	14.05	    23.43	234548048	  1.36	化工原料	浙江	1.78	14.10	92308	74061	  1.25	929	62	--  	      53580.98	
="002060"	粤 水 电	0.13	7.51	0.01	7.51	7.52	392102	952	-0.13	          6.52	7.51	8.10	7.49	7.50	    51.03	305440576	  2.12	建筑施工	广东	8.13	7.79	190229	201872	  0.94	2461	85	--  	      60103.19	
="600198"	大唐电信	0.12	17.21	0.02	17.21	17.22	250807	11	-0.05	          5.40	17.22	18.12	17.19	17.19	--  	443878080	  1.82	通信设备	北京	5.41	17.70	124811	125995	  0.99	8	391	--  	      46439.46	
="000610"	西安旅游	0.10	9.72	0.01	9.71	9.72	92975	851	0.10	          4.77	9.70	9.74	9.31	9.71	--  	88875576	  1.45	旅游服务	陕西	4.43	9.56	49048	43927	  1.12	611	629	--  	      19502.47	
="600315"	上海家化	0.06	35.69	0.02	35.72	35.74	302882	4	-0.25	          4.58	35.68	36.98	35.10	35.67	    24.72	1088633216	  1.33	日用化工	上海	5.27	35.94	159399	143482	  1.11	7	20	--  	      66086.46	
="603766"	隆鑫通用	0.00	16.48	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	16.48	    21.38	0	  0.00	摩托车	重庆	0.00	16.48	0	0	--  	0	0	--  	      39714.64	
="603008"	喜临门	0.00	14.58	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	14.58	    39.85	0	  0.00	家居用品	浙江	0.00	14.58	0	0	--  	0	0	--  	      19827.18	
="601766"	中国南车	0.00	5.80	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	5.80	    15.11	0	  0.00	运输设备	北京	0.00	5.80	0	0	--  	0	0	--  	    1041689.63	
="601558"	*ST锐电	0.00	4.01	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.01	--  	0	  0.00	电气设备	北京	0.00	4.01	0	0	--  	0	0	--  	      42040.00	
="601519"	大智慧	0.00	5.98	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	5.98	   102.35	0	  0.00	软件服务	上海	0.00	5.98	0	0	--  	0	0	--  	     198770.00	
="601299"	中国北车	0.00	6.45	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	6.45	    14.98	0	  0.00	运输设备	北京	0.00	6.45	0	0	--  	0	0	--  	    1012608.38	
="601216"	内蒙君正	0.00	10.44	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.44	    26.81	0	  0.00	化工原料	内蒙	0.00	10.44	0	0	--  	0	0	--  	     204800.00	
="601186"	中国铁建	0.00	9.79	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.79	    12.08	0	  0.00	建筑施工	北京	0.00	9.79	0	0	--  	0	0	--  	    1026124.56	
