代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	
="600005"	武钢股份	0.68	2.95	0.02	2.95	2.96	2084643	242	0.34	          2.07	2.92	3.00	2.86	2.93	    28.99	607900672	  1.37	普钢	
="002534"	杭锅股份	0.58	19.11	0.11	19.10	19.11	77288	584	-0.10	          1.97	19.00	19.29	17.69	19.00	    58.73	144766544	  3.70	专用机械	
="600018"	上港集团	0.52	5.80	0.03	5.80	5.81	1028448	205	0.17	          0.45	5.71	5.82	5.70	5.77	    21.15	592711808	  0.86	港口	
="000564"	西安民生	0.50	6.02	0.03	6.01	6.02	79078	624	0.00	          2.36	5.99	6.05	5.95	5.99	    39.34	47549816	  0.42	百货	
="000877"	天山股份	0.49	8.18	0.04	8.17	8.18	285246	2772	0.12	          3.24	8.12	8.21	8.08	8.14	    17.58	232971456	  0.82	水泥	
="600970"	中材国际	0.49	10.29	0.05	10.27	10.30	259507	95	0.19	          2.37	10.23	10.34	10.17	10.24	    17.09	266641392	  0.60	建筑施工	
="000900"	现代投资	0.44	6.80	0.03	6.79	6.80	281757	3031	0.00	          2.79	6.77	6.81	6.60	6.77	    17.69	189137008	  1.08	路桥	
="600673"	东阳光科	0.43	16.23	0.07	16.26	16.33	123502	1	-0.49	          1.50	16.16	16.72	15.97	16.16	   103.15	202680704	  0.95	铝	
="300289"	利德曼	0.42	35.79	0.15	35.72	35.79	28502	140	0.42	          5.11	36.10	36.45	35.33	35.64	    64.14	102025152	  1.47	生物制药	
="600153"	建发股份	0.37	8.17	0.03	8.17	8.18	655206	172	-0.12	          2.31	8.10	8.31	8.02	8.14	    11.04	537239744	  0.80	商贸代理	
="601313"	江南嘉捷	0.36	11.10	0.04	11.10	11.11	44280	5	0.18	          1.65	11.10	11.21	10.95	11.06	    20.44	49257924	  0.71	运输设备	
="600223"	鲁商置业	0.35	5.66	0.02	5.66	5.67	141473	90	-0.17	          1.41	5.61	5.74	5.55	5.64	    34.31	79879376	  0.75	区域地产	
="600497"	驰宏锌锗	0.35	11.42	0.04	11.41	11.42	307798	170	0.08	          1.85	11.35	11.57	11.35	11.38	    93.41	352007584	  0.62	铅锌	
