代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="000058"	深 赛 格	1.00	7.04	0.07	7.04	7.05	164055	1411	0.14	          3.05	6.96	7.10	6.93	6.97	    88.94	114759200	  1.41	元器件	深圳	2.44	7.00	89964	74091	  1.21	36	2162	--  	      53831.10	
="600998"	九州通	0.93	19.53	0.18	19.52	19.53	266613	609	0.41	          1.88	19.39	19.85	19.00	19.35	    81.38	515962400	  1.42	医药商业	湖北	4.39	19.35	146163	120450	  1.21	64	33	--  	     142051.56	
="300015"	爱尔眼科	0.88	33.09	0.29	33.09	33.10	101563	495	0.51	          1.94	33.00	33.70	32.38	32.80	    63.62	334196096	  1.60	医疗保健	湖南	4.02	32.91	54611	46951	  1.16	15	39	--  	      52327.30	
="600312"	平高电气	0.80	18.85	0.15	18.86	18.87	430450	53	0.26	          5.26	19.00	19.19	18.35	18.70	    37.81	807348480	  0.98	电气设备	河南	4.49	18.76	220641	209809	  1.05	144	303	--  	      81896.61	
="600195"	中牧股份	0.75	17.45	0.13	17.45	17.46	125927	8	0.17	          2.93	17.32	17.57	17.20	17.32	    23.55	218970944	  1.11	饲料	北京	2.14	17.39	66675	59252	  1.13	2139	119	--  	      42980.00	
="002394"	联发股份	0.73	12.49	0.09	12.49	12.50	155156	1364	0.24	          4.79	12.45	12.75	12.25	12.40	    17.41	193228192	  0.89	纺织	江苏	4.03	12.45	88703	66453	  1.33	332	543	--  	      32370.00	
="002005"	德豪润达	0.70	8.61	0.06	8.61	8.62	518863	12335	0.23	          4.45	8.58	8.68	8.47	8.55	   127.99	444863648	  1.38	家用电器	广东	2.46	8.57	261899	256963	  1.02	309	2313	--  	     116470.65	
="000665"	湖北广电	0.70	14.37	0.10	14.37	14.38	37645	443	0.06	          1.98	14.28	14.56	14.13	14.27	    52.42	54054060	  1.78	影视音像	湖北	3.01	14.36	15500	22145	  0.70	214	502	--  	      18995.71	
="002481"	双塔食品	0.68	17.87	0.12	17.86	17.87	50371	346	0.39	          1.34	17.74	18.36	17.50	17.75	    60.60	90406368	  1.69	食品	山东	4.85	17.95	19510	30861	  0.63	431	213	--  	      37455.17	
="600890"	中房股份	0.59	8.46	0.05	8.45	8.46	40515	112	0.00	          0.70	8.54	8.54	8.33	8.41	--  	34178336	  0.95	区域地产	北京	2.50	8.44	21575	18939	  1.14	101	3	--  	      57919.48	
="002056"	横店东磁	0.59	23.69	0.14	23.69	23.70	101244	759	0.08	          2.46	23.70	23.93	23.40	23.55	    27.87	239443568	  1.73	元器件	浙江	2.25	23.65	57852	43391	  1.33	619	191	--  	      41081.51	
="300255"	常山药业	0.35	34.70	0.12	34.70	34.71	28866	529	0.57	          2.23	34.66	35.25	34.10	34.58	    67.59	100000136	  2.00	生物制药	河北	3.33	34.64	15364	13502	  1.14	39	6	--  	      12945.29	
="002543"	万和电气	0.24	12.70	0.03	12.70	12.71	83490	702	0.07	          2.62	12.62	12.95	12.51	12.67	    18.50	105998648	  0.90	家用电器	广东	3.47	12.70	43373	40116	  1.08	120	117	--  	      31872.50	
="600981"	汇鸿股份	0.00	4.21	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.21	    92.48	0	  0.00	商贸代理	江苏	0.00	4.21	0	0	--  	0	0	--  	      51610.64	
="600858"	银座股份	0.00	9.83	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.83	    19.34	0	  0.00	百货	山东	0.00	9.83	0	0	--  	0	0	--  	      51754.80	
="600749"	西藏旅游	0.00	12.18	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.18	  1161.76	0	  0.00	旅游景点	西藏	0.00	12.18	0	0	--  	0	0	--  	      18913.78	
="600575"	皖江物流	0.00	4.11	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.11	--  	0	  0.00	水运	安徽	0.00	4.11	0	0	--  	0	0	--  	     142320.00	
="600365"	通葡股份	0.00	11.38	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.38	  5686.21	0	  0.00	红黄药酒	吉林	0.00	11.38	0	0	--  	0	0	--  	      14000.00	
="600326"	西藏天路	0.00	8.74	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.74	    70.32	0	  0.00	建筑施工	西藏	0.00	8.74	0	0	--  	0	0	--  	      54720.00	
="600318"	巢东股份	0.00	11.20	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.20	    17.93	0	  0.00	水泥	安徽	0.00	11.20	0	0	--  	0	0	--  	      24200.00	
="600103"	青山纸业	0.00	3.66	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	3.66	   601.14	0	  0.00	造纸	福建	0.00	3.66	0	0	--  	0	0	--  	     106184.15	
="600090"	啤酒花	0.00	8.13	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.13	    36.46	0	  0.00	啤酒	新疆	0.00	8.13	0	0	--  	0	0	--  	      36791.66	
="600056"	中国医药	0.00	17.56	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	17.56	    31.65	0	  0.00	医药商业	北京	0.00	17.56	0	0	--  	0	0	--  	      88445.85	
="300313"	天山生物	--  	23.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.69	   258.62	0	  0.00	农业综合	新疆	0.00	23.69	0	0	--  	0	0	--  	       4177.81	
="300144"	宋城演艺	--  	30.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.12	    39.83	0	  0.00	旅游景点	浙江	0.00	30.12	0	0	--  	0	0	--  	      50614.17	
