代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002651"	利君股份	-4.12	25.60	-1.10	25.51	25.60	22048	287	         -0.27	          3.59	26.53	26.69	24.61	26.70	    28.99	55852804	  1.22	专用机械	四川	 7.79	
="000566"	海南海药	-4.12	16.51	-0.71	16.51	16.52	57985	396	          0.00	          1.22	17.19	17.35	16.50	17.22	    42.94	97793920	  0.99	化学制药	海南	 4.94	
="600577"	精达股份	-4.13	6.96	-0.30	6.95	6.96	185922	26	          0.00	          2.62	7.25	7.25	6.92	7.26	    39.85	130602112	  0.99	电气设备	安徽	 4.55	
="300245"	天玑科技	-4.14	23.17	-1.00	23.17	23.18	39986	485	         -0.04	          3.78	24.23	24.33	23.10	24.17	    87.20	94116024	  0.99	软件服务	上海	 5.09	
="002043"	兔 宝 宝	-4.14	5.56	-0.24	5.56	5.57	124308	1437	         -0.17	          2.67	5.75	5.77	5.50	5.80	    96.50	69790264	  0.98	其他建材	浙江	 4.66	
="600506"	香梨股份	-4.14	12.74	-0.55	12.70	12.75	34748	32	          0.39	          2.35	13.15	13.26	12.60	13.29	--  	44772068	  0.93	种植业	新疆	 4.97	
="300078"	中瑞思创	-4.14	23.38	-1.01	23.37	23.38	18277	464	         -0.46	          2.27	24.36	24.38	23.38	24.39	    46.54	43448908	  0.87	元器件	浙江	 4.10	
="300057"	万顺股份	-4.15	10.40	-0.45	10.40	10.41	48510	508	         -0.19	          1.97	10.83	10.88	10.38	10.85	    34.40	51454920	  0.98	广告包装	广东	 4.61	
="600605"	汇通能源	-4.15	15.48	-0.67	15.47	15.53	21903	21	          0.12	          1.49	16.13	16.30	15.33	16.15	   354.56	34526228	  1.05	商贸代理	上海	 6.01	
="002196"	方正电机	-4.15	21.70	-0.94	21.54	21.70	14903	403	          0.50	          1.74	22.60	22.86	21.27	22.64	   696.97	32915748	  0.79	纺织机械	浙江	 7.02	
="002112"	三变科技	-4.15	9.92	-0.43	9.91	9.92	39987	147	          0.20	          2.14	10.35	10.35	9.75	10.35	   141.42	40205920	  0.58	电气设备	浙江	 5.80	
