代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="000036"	华联控股	10.05	4.16	0.38	4.16	--  	345519	979	          0.00	          3.07	3.80	4.16	3.79	3.78	  3893.98	142180704	  1.53	全国地产	深圳	 9.79	4.11	278123	67396	  4.13	278119	0	--  	     112388.02	
="600736"	苏州高新	10.04	5.48	0.50	5.48	--  	1219817	20	          0.00	         11.53	5.48	5.48	5.26	4.98	    42.31	667149888	  4.00	园区开发	江苏	 4.42	5.47	905486	314331	  2.88	145401	0	--  	     105788.15	
="600808"	马钢股份	10.00	2.75	0.25	2.74	2.75	5441184	68	          0.00	          9.12	2.75	2.75	2.61	2.50	--  	1474845696	  5.68	普钢	安徽	 5.60	2.71	3097475	2343709	  1.32	4472	57935	--  	     596775.13	
="002593"	日上集团	8.44	14.01	1.09	14.00	14.01	48011	1764	         -0.63	          3.68	12.92	14.17	12.66	12.92	    70.09	63613688	  1.29	汽车配件	福建	11.69	13.25	19697	28314	  0.70	325	293	--  	      13042.04	
="600083"	博信股份	7.83	11.43	0.83	11.43	11.44	78482	15	          0.35	          3.47	10.65	11.60	10.43	10.60	   621.96	86892072	  2.62	元器件	广东	11.04	11.07	32375	46107	  0.70	8	60	--  	      22598.08	
="600238"	海南椰岛	6.48	10.03	0.61	10.04	10.05	250425	132	          1.21	          5.67	9.30	10.10	9.27	9.42	    80.39	245399232	  1.58	红黄药酒	海南	 8.81	9.80	119171	131254	  0.91	13	1236	--  	      44203.16	
="000828"	东莞控股	6.40	6.65	0.40	6.64	6.65	262938	996	          0.15	          2.53	6.30	6.88	6.24	6.25	    12.17	173894304	  2.61	路桥	广东	10.24	6.61	112322	150616	  0.75	527	2814	--  	     103951.70	
="600005"	武钢股份	6.02	2.64	0.15	2.64	2.65	3234024	172	         -0.37	          3.20	2.53	2.74	2.52	2.49	    31.13	865692928	  4.11	普钢	湖北	 8.84	2.68	1854951	1379073	  1.35	3257	11788	--  	    1009378.00	
="601100"	恒立油缸	5.85	12.48	0.69	12.48	12.49	73040	33	         -0.23	          2.95	11.82	12.89	11.78	11.79	    78.48	90784192	  2.58	工程机械	江苏	 9.41	12.43	31077	41963	  0.74	10	535	--  	      24727.50	
="002082"	栋梁新材	5.77	11.36	0.62	11.35	11.36	239123	1491	         -0.35	         12.85	10.76	11.68	10.31	10.74	    26.36	259866144	  2.33	铝	浙江	12.76	10.87	104935	134188	  0.78	15149	2540	--  	      18605.09	
="600035"	楚天高速	5.56	3.42	0.18	3.41	3.42	413912	13	          0.29	          3.42	3.23	3.50	3.23	3.24	    16.01	139879104	  1.90	路桥	湖北	 8.33	3.38	176073	237839	  0.74	352	2277	--  	     121114.82	
