代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="600308"	华泰股份	10.06	3.72	0.34	3.72	--  	519160	4	          0.00	          4.45	3.41	3.72	3.41	3.38	    38.39	191206928	  2.49	造纸	山东	 9.17	
="002441"	众业达	10.02	20.87	1.90	20.87	--  	126155	1359	          0.00	          8.72	19.00	20.87	19.00	18.97	    20.17	255650416	  3.46	批发业	广东	 9.86	
="002680"	黄海机械	10.01	28.69	2.61	28.69	--  	65518	397	          0.00	         27.31	25.95	28.69	25.83	26.08	   119.25	182398672	  4.55	工程机械	江苏	10.97	
="600523"	贵航股份	10.01	18.58	1.69	18.58	--  	13276	10	          0.00	          0.46	18.58	18.58	18.58	16.89	    57.36	24667756	  0.10	汽车配件	贵州	 0.00	
="002568"	百润股份	10.01	21.88	1.99	21.88	--  	887	1	          0.00	          0.08	21.88	21.88	21.88	19.89	    53.96	1941128	  0.11	食品	上海	 0.00	
="000918"	嘉凯城	10.00	3.41	0.31	3.41	--  	418423	444	          0.00	          2.32	3.11	3.41	3.08	3.10	--  	138200848	  3.85	全国地产	湖南	10.65	
="000627"	天茂集团	10.00	3.52	0.32	3.52	--  	1152367	883	          0.00	          8.51	3.20	3.52	3.19	3.20	    13.46	394357920	  3.67	化工原料	湖北	10.31	
="002406"	远东传动	9.97	11.91	1.08	11.91	--  	187281	70	          0.00	         10.60	11.55	11.91	11.20	10.83	    21.85	215573616	  2.79	汽车配件	河南	 6.56	
="000617"	石油济柴	9.96	10.82	0.98	10.82	--  	108339	47	          0.00	          3.77	10.31	10.82	10.31	9.84	--  	116960320	  1.98	机械基件	山东	 5.18	
="002253"	川大智胜	7.97	31.55	2.33	31.54	31.55	72446	668	         -0.22	          5.76	29.40	32.14	29.40	29.22	   175.48	227157552	  2.93	软件服务	四川	 9.38	
="002256"	彩虹精化	7.80	11.75	0.85	11.75	11.76	242837	1481	         -0.08	          7.75	11.28	11.99	10.83	10.90	    45.75	277786400	  1.60	染料涂料	深圳	10.64	
="600128"	弘业股份	7.76	13.19	0.95	13.25	13.26	405696	121	          0.61	         16.44	12.70	13.33	12.41	12.24	    66.12	521958144	  3.24	商贸代理	江苏	 7.52	
="600992"	贵绳股份	7.47	10.50	0.73	10.49	10.50	46458	20	          0.00	          2.83	9.74	10.51	9.68	9.77	   125.62	47826192	  2.13	钢加工	贵州	 8.50	
="000875"	吉电股份	7.26	3.99	0.27	3.99	4.00	968449	6825	         -0.49	         14.67	3.84	4.09	3.73	3.72	--  	380107680	  3.87	火力发电	吉林	 9.68	
