代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="000488"	晨鸣纸业	-1.48	6.66	-0.10	6.65	6.66	134666	955	0.00	          1.22	6.76	6.81	6.65	6.76	    28.35	90270104	  0.42	造纸	山东	2.37	6.70	79608	55057	  1.45	5971	1165	--  	     110503.72	
="000416"	民生控股	-1.55	10.17	-0.16	10.17	10.18	116681	879	0.00	          2.19	10.38	10.63	10.15	10.33	   162.85	121059472	  0.53	百货	山东	4.65	10.38	66163	50518	  1.31	2015	2685	--  	      53161.03	
="600180"	瑞茂通	-1.59	15.50	-0.25	15.50	15.60	71604	69	0.00	          2.77	15.90	15.94	15.41	15.75	    40.65	111595608	  0.46	仓储物流	山东	3.37	15.59	36937	34667	  1.07	413	356	--  	      25850.25	
="000737"	南风化工	-1.63	5.42	-0.09	5.42	5.43	160388	3685	-0.55	          2.92	5.53	5.59	5.41	5.51	--  	88577184	  0.48	日用化工	山西	3.27	5.52	84815	75572	  1.12	34	981	--  	      54873.12	
="002078"	太阳纸业	-1.75	4.48	-0.08	4.48	4.49	533859	3715	-0.44	          2.70	4.58	4.62	4.46	4.56	    24.61	241605472	  0.57	造纸	山东	3.51	4.53	298011	235848	  1.26	2304	5661	--  	     197669.13	
="600329"	中新药业	-1.78	16.02	-0.29	16.01	16.03	49165	169	0.18	          0.92	16.31	16.48	15.98	16.31	    34.59	79536136	  0.65	中成药	天津	3.07	16.18	29207	19957	  1.46	100	608	--  	      53620.37	
="002024"	苏宁云商	-1.83	10.70	-0.20	10.69	10.70	2406845	51767	-0.55	          4.87	10.79	11.04	10.70	10.90	--  	2612727040	  0.62	电器连锁	江苏	3.12	10.86	1242578	1164266	  1.07	3799	12798	--  	     494071.41	
="000860"	顺鑫农业	-1.84	20.25	-0.38	20.24	20.25	78203	649	-0.04	          1.78	20.67	20.94	20.12	20.63	    30.68	160163776	  0.75	农业综合	北京	3.97	20.48	49156	29047	  1.69	10	289	--  	      43852.50	
="002372"	伟星新材	-2.17	18.01	-0.40	18.00	18.01	30884	596	0.05	          0.79	18.19	18.35	17.66	18.41	    21.43	55244480	  0.98	其他建材	浙江	3.75	17.89	18596	12288	  1.51	5	12	--  	      38951.12	
="002064"	华峰氨纶	-2.22	11.91	-0.27	11.91	11.92	211338	2681	-0.08	          3.17	12.21	12.55	11.84	12.18	    24.82	257883248	  0.75	化纤	浙江	5.83	12.20	129727	81610	  1.59	496	926	--  	      66669.71	
