代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="600372"	中航电子	1.14	29.27	0.33	29.30	29.31	179284	39	0.20	          1.02	29.21	29.62	28.93	28.94	   103.36	524455296	  0.51	航空	江西	2.38	29.25	91118	88166	  1.03	600	189	--  	     175916.30	
="002271"	东方雨虹	1.13	38.41	0.43	38.41	38.43	27519	197	-0.13	          1.26	37.79	38.70	37.17	37.98	    27.96	104020800	  0.74	其他建材	北京	4.03	37.80	13234	14285	  0.93	24	4	--  	      21825.31	
="300262"	巴安水务	1.08	20.64	0.22	20.63	20.64	46119	774	0.29	          2.93	20.26	20.67	20.26	20.42	    65.83	94504824	  0.57	环境保护	上海	2.01	20.49	21524	24594	  0.88	539	504	--  	      15727.58	
="600028"	中国石化	1.06	6.67	0.07	6.67	6.68	2819308	34	0.15	          0.30	6.58	6.70	6.52	6.60	    11.56	1861576448	  0.62	石油加工	北京	2.73	6.60	1377198	1442109	  0.95	5259	11936	--  	    9276696.00	
="002239"	金 飞 达	1.03	6.86	0.07	6.86	6.87	136264	2234	0.00	          3.23	6.80	6.93	6.77	6.79	   281.29	93179000	  0.52	服饰	江苏	2.36	6.84	71581	64682	  1.11	517	1392	--  	      42210.00	
="000713"	丰乐种业	1.00	11.10	0.11	11.10	11.11	81570	2502	0.27	          2.73	10.95	11.14	10.89	10.99	--  	90018232	  0.62	种植业	安徽	2.27	11.04	41746	39824	  1.05	1380	1099	--  	      29887.35	
="002672"	东江环保	0.96	36.89	0.35	36.89	36.90	15301	133	0.02	          1.21	36.66	37.20	36.45	36.54	    48.93	56290160	  0.77	环境保护	广东	2.05	36.79	6901	8399	  0.82	12	399	--  	      12657.33	
="000026"	飞亚达Ａ	0.92	12.08	0.11	12.07	12.08	74678	894	0.08	          2.40	11.95	12.14	11.84	11.97	    28.01	89549984	  0.62	其他商业	深圳	2.51	11.99	35188	39490	  0.89	213	100	--  	      31107.00	
="000537"	广宇发展	0.91	8.87	0.08	8.87	8.88	150381	1171	-0.22	          2.93	8.77	8.95	8.50	8.79	    13.87	132091416	  0.72	区域地产	天津	5.12	8.78	77338	73042	  1.06	1295	1463	--  	      51271.33	
="600761"	安徽合力	0.81	14.94	0.12	14.94	14.95	104801	27	0.00	          1.70	14.76	14.98	14.62	14.82	    14.28	154869888	  0.89	工程机械	安徽	2.43	14.78	54981	49819	  1.10	172	1277	--  	      61681.73	
="300070"	碧水源	0.80	36.73	0.29	36.72	36.73	83781	1298	0.00	          1.30	36.47	37.20	36.40	36.44	   176.53	307846336	  0.61	环境保护	北京	2.20	36.74	44870	38911	  1.15	1624	74	--  	      64693.33	
="600614"	鼎立股份	0.78	15.46	0.12	15.44	15.46	97050	773	-0.25	          2.17	15.26	15.51	15.20	15.34	   371.54	149224256	  0.77	综合类	上海	2.02	15.38	49392	47657	  1.04	310	149	--  	      44675.94	
="000723"	美锦能源	0.73	8.26	0.06	8.26	8.27	69213	683	0.48	          3.55	8.15	8.28	8.11	8.20	   510.80	56681100	  0.64	焦炭加工	山西	2.07	8.19	37149	32064	  1.16	399	21	--  	      19486.41	
="600326"	西藏天路	0.69	8.75	0.06	8.75	8.76	128465	25	0.22	          2.35	8.68	8.76	8.53	8.69	    70.40	110902360	  0.84	建筑施工	西藏	2.65	8.63	64643	63822	  1.01	1333	352	--  	      54720.00	
="600050"	中国联通	0.63	4.82	0.03	4.82	4.83	1701428	623	0.00	          0.80	4.78	4.84	4.75	4.79	    21.89	814861184	  0.55	电信运营	上海	1.88	4.79	881232	820196	  1.07	6673	15424	--  	    2119659.75	
="002332"	仙琚制药	0.61	11.47	0.07	11.46	11.47	100165	1003	0.08	          2.20	11.40	11.70	11.26	11.40	   106.74	114581168	  0.71	生物制药	浙江	3.86	11.44	55258	44906	  1.23	703	96	--  	      45613.12	
="600511"	国药股份	0.60	33.57	0.20	33.59	33.60	42174	2	-0.08	          1.52	33.41	33.88	33.10	33.37	    32.16	141307568	  0.50	医药商业	北京	2.34	33.51	21823	20350	  1.07	41	69	--  	      27764.33	
="000826"	桑德环境	0.51	29.64	0.15	29.64	29.65	134377	1823	0.06	          1.60	29.56	29.88	29.09	29.49	    36.61	395110848	  0.69	环境保护	湖北	2.68	29.40	67973	66404	  1.02	110	147	--  	      83933.35	
="600329"	中新药业	0.48	16.79	0.08	16.78	16.79	112570	7	0.00	          2.11	16.70	17.03	16.54	16.71	    36.25	188764736	  0.79	中成药	天津	2.93	16.77	61073	51496	  1.19	44	445	--  	      53343.37	
="000498"	山东路桥	0.37	5.37	0.02	5.37	5.38	130287	3176	0.18	          3.68	5.28	5.38	5.22	5.35	    32.02	69192312	  0.47	建筑施工	山东	2.99	5.31	71842	58444	  1.23	1517	1968	--  	      35417.01	
