代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="601872"	招商轮船	10.08	5.57	0.51	5.57	--  	1169111	20	0.00	          3.10	5.15	5.57	5.13	5.06	    62.99	634432000	  1.36	水运	上海	8.70	5.43	643808	525303	  1.23	714173	0	--  	     377673.75	
="600229"	青岛碱业	10.05	8.87	0.81	8.87	--  	5090	3	0.00	          0.13	8.87	8.87	8.87	8.06	    53.21	4515194	  0.14	化工原料	山东	0.00	8.87	4374	716	  6.11	252991	0	--  	      39578.62	
="000821"	京山轻机	10.05	12.16	1.11	12.16	--  	710499	442	0.00	         20.58	11.20	12.16	10.86	11.05	--  	810988992	  1.92	轻工机械	湖北	11.76	11.41	360704	349794	  1.03	13450	0	--  	      34521.94	
="600618"	氯碱化工	10.04	9.97	0.91	9.97	--  	301198	10	0.00	          4.02	9.01	9.97	8.94	9.06	--  	296670272	  3.12	化工原料	上海	11.37	9.85	178534	122663	  1.46	8465	0	--  	      74984.00	
="600026"	中海发展	10.04	8.55	0.78	8.55	--  	1034358	30	0.00	          4.91	7.98	8.55	7.65	7.77	   255.98	860624256	  2.30	水运	上海	11.58	8.32	607804	426554	  1.42	39678	0	--  	     210855.66	
="002142"	宁波银行	10.04	15.46	1.41	15.46	--  	1875660	29480	0.00	          6.53	14.15	15.46	14.00	14.05	     8.22	2816070656	  2.77	银行	浙江	10.39	15.01	987332	888328	  1.11	25962	0	--  	     287241.59	
="000063"	中兴通讯	10.02	19.10	1.74	19.10	--  	3069499	804	0.00	         10.96	18.02	19.10	18.00	17.36	    26.89	5801366016	  3.16	通信设备	深圳	6.34	18.90	1727795	1341704	  1.29	50950	0	--  	     280129.03	
="000800"	一汽轿车	10.02	15.70	1.43	15.70	--  	897469	609	0.00	          6.36	14.45	15.70	14.45	14.27	    77.81	1385511424	  2.77	汽车整车	吉林	8.76	15.44	480134	417334	  1.15	28057	0	--  	     141175.41	
="601226"	华电重工	10.02	21.08	1.92	21.08	--  	672437	10	0.00	         44.83	21.08	21.08	20.02	19.16	    42.48	1390518912	700.46	专用机械	北京	5.53	20.68	438435	234002	  1.87	18470	0	--  	      15000.00	
="600528"	中铁二局	10.02	11.97	1.09	11.97	--  	2346995	30	0.00	         16.08	11.30	11.97	11.05	10.88	    43.95	2731392256	  2.01	建筑施工	四川	8.46	11.64	1111088	1235907	  0.90	87275	0	--  	     145920.00	
="002732"	燕塘乳业	10.02	31.30	2.85	31.30	--  	238950	253	0.00	         60.72	28.98	31.30	28.45	28.45	    57.07	717411584	199.12	乳制品	广东	10.02	30.02	113274	125675	  0.90	5652	0	--  	       3935.00	
="300256"	星星科技	10.02	20.43	1.86	20.43	--  	66175	39	0.00	          6.38	20.43	20.43	19.66	18.57	  2421.08	135062576	  1.64	元器件	浙江	4.15	20.41	49012	17162	  2.86	9031	0	--  	      10376.41	
="002735"	王子新材	10.02	34.49	3.14	34.49	--  	10345	260	0.00	          5.17	34.49	34.49	34.49	31.35	    97.31	35678560	 14.37	塑料	深圳	0.00	34.49	9818	526	 18.67	13287	0	--  	       2000.00	
="300194"	福安药业	10.01	26.70	2.43	26.70	--  	49501	72	0.00	          3.84	24.27	26.70	23.76	24.27	   131.85	126871976	  2.52	化学制药	重庆	12.11	25.63	14511	34990	  0.41	3313	0	--  	      12880.26	
="601186"	中国铁建	10.01	10.77	0.98	10.77	--  	163985	52	0.00	          0.16	10.77	10.77	10.77	9.79	    13.29	176611872	  0.06	建筑施工	北京	0.00	10.77	157881	6104	 25.87	2134270	0	--  	    1026124.56	
