代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002323"	中联电气	10.03	21.95	2.00	21.95	--  	41227	172	          0.00	          4.94	19.67	21.95	19.00	19.95	   122.80	86447632	  3.30	电气设备	江苏	14.79	
="000627"	天茂集团	8.47	4.10	0.32	4.09	4.10	1290531	9040	         -0.24	          9.53	3.81	4.16	3.81	3.78	    15.68	523753568	  3.75	化工原料	湖北	 9.26	
="600088"	中视传媒	6.24	22.29	1.31	22.29	22.30	253997	51	          0.00	          7.66	21.05	22.82	20.60	20.98	   139.46	552648064	  2.03	影视音像	上海	10.58	
="000638"	万方发展	5.74	7.18	0.39	7.14	7.18	202260	5634	          1.55	          6.54	6.73	7.32	6.73	6.79	   272.66	145187776	  2.63	批发业	辽宁	 8.69	
="000514"	渝 开 发	5.67	6.15	0.33	6.14	6.15	241974	11400	         -0.48	          2.87	5.80	6.35	5.71	5.82	    32.12	145168144	  1.74	区域地产	重庆	11.00	
="002470"	金正大	5.49	26.90	1.40	26.89	26.90	115178	1042	         -0.18	          1.94	25.70	27.15	25.70	25.50	    17.33	306337920	  2.33	农药化肥	山东	 5.69	
="002036"	宜科科技	5.13	10.86	0.53	10.86	10.87	130647	3079	          0.64	          6.60	10.33	10.93	10.23	10.33	   153.77	139448256	  1.34	服饰	浙江	 6.78	
="002677"	浙江美大	4.98	18.13	0.86	18.12	18.13	69021	1115	         -0.38	         13.80	17.34	18.34	17.20	17.27	    37.65	123348256	  2.18	家用电器	浙江	 6.60	
="600774"	汉商集团	4.94	12.33	0.58	12.31	12.32	33023	53	          1.14	          1.91	11.79	12.35	11.63	11.75	   192.94	39687108	  2.37	百货	湖北	 6.13	
="603123"	翠微股份	4.80	12.02	0.55	12.02	12.04	182298	361	          0.00	         16.21	11.55	12.14	11.45	11.47	    30.21	215365184	  1.91	百货	北京	 6.02	
="600806"	昆明机床	4.73	6.20	0.28	6.19	6.20	196741	23	         -0.16	          5.04	5.88	6.31	5.85	5.92	--  	120093024	  2.22	机床制造	云南	 7.77	
="002208"	合肥城建	4.57	8.70	0.38	8.69	8.70	50481	2027	          0.23	          1.59	8.32	8.83	8.21	8.32	    34.13	42796096	  1.55	区域地产	安徽	 7.45	
="300203"	聚光科技	4.31	19.59	0.81	19.57	19.59	175224	1227	         -0.65	          3.94	18.85	19.88	18.82	18.78	    73.95	341815776	  2.16	电器仪表	浙江	 5.64	
="002560"	通达股份	4.10	19.80	0.78	19.72	19.80	30989	834	          1.48	          6.78	19.01	19.88	18.93	19.02	    80.78	59927264	  1.74	电气设备	河南	 4.99	
="600478"	科力远	3.79	25.17	0.92	25.16	25.17	97494	9	         -0.15	          2.06	24.25	25.33	24.25	24.25	  1342.58	243989712	  1.43	元器件	湖南	 4.45	
