代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="002646"	青青稞酒	-1.42	21.47	-0.31	21.47	21.48	44709	326	-0.13	          0.99	21.78	21.99	21.38	21.78	    26.80	96763744	  0.66	白酒	青海	2.80	21.64	24976	19732	  1.27	896	38	--  	      45000.00	
="600252"	中恒集团	-1.43	16.57	-0.24	16.56	16.57	224339	3	0.24	          2.05	16.77	16.97	16.50	16.81	    19.55	375102336	  0.85	中成药	广西	2.80	16.72	135493	88846	  1.53	78	45	--  	     109174.75	
="601933"	永辉超市	-1.44	8.92	-0.13	8.91	8.92	385026	22	0.00	          1.25	9.10	9.16	8.82	9.05	    33.55	344558080	  0.89	超市连锁	福建	3.76	8.95	222149	162876	  1.36	320	90	--  	     307160.00	
="000899"	赣能股份	-1.45	7.48	-0.11	7.47	7.48	396430	1749	0.26	          7.14	7.50	7.75	7.45	7.59	    12.88	301144768	  1.73	火力发电	江西	3.95	7.60	182749	213680	  0.86	1128	2647	--  	      55518.16	
="601857"	中国石油	-1.45	12.21	-0.18	12.20	12.21	4257348	1142	0.41	          0.26	12.20	13.14	12.08	12.39	    17.45	5362076672	  1.35	石油开采	北京	8.56	12.59	2137546	2119801	  1.01	259	781	--  	   16192208.00	
="600616"	金枫酒业	-1.54	9.57	-0.15	9.56	9.58	116441	21	-0.41	          2.65	9.69	9.80	9.53	9.72	    55.13	112330744	  0.86	红黄药酒	上海	2.78	9.65	59464	56977	  1.04	51	335	--  	      43867.14	
="600230"	沧州大化	-1.55	12.09	-0.19	12.08	12.09	120128	70	-0.16	          4.08	12.03	12.38	12.03	12.28	--  	146515152	  1.23	农药化肥	河北	2.85	12.20	62359	57769	  1.08	825	99	--  	      29418.82	
="000552"	靖远煤电	-1.55	10.78	-0.17	10.78	10.79	138716	2227	0.00	          3.92	10.92	11.20	10.67	10.95	    21.35	151702544	  0.65	煤炭开采	甘肃	4.84	10.94	73460	65256	  1.13	904	187	--  	      35412.42	
="000780"	平庄能源	-1.55	6.34	-0.10	6.34	6.35	245778	2698	-0.47	          2.42	6.40	6.55	6.25	6.44	--  	157787792	  0.63	煤炭开采	内蒙	4.66	6.42	111380	134398	  0.83	2120	181	--  	     101430.63	
="600295"	鄂尔多斯	-1.56	9.44	-0.15	9.44	9.45	85233	11	-0.42	          1.39	9.62	9.71	9.41	9.59	    27.59	81485392	  0.86	服饰	内蒙	3.13	9.56	42185	43047	  0.98	96	164	--  	      61200.00	
