代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="600975"	新五丰	10.06	9.74	0.89	9.74	--  	139498	18	          0.00	          5.95	8.85	9.74	8.72	8.85	--  	132840528	  2.24	农业综合	湖南	11.53	9.52	62850	76648	  0.82	5345	0	--  	      23436.00	
="000507"	珠海港	10.05	7.12	0.65	7.12	--  	1248712	1116	          0.00	         16.17	6.50	7.12	6.50	6.47	--  	879014720	  1.83	港口	广东	 9.58	7.04	748966	499746	  1.50	84662	0	--  	      77214.38	
="600160"	巨化股份	10.05	7.23	0.66	7.23	--  	1054491	60	          0.00	          5.82	6.56	7.23	6.44	6.57	    84.37	736236352	  1.48	化工原料	浙江	12.02	6.98	425309	629182	  0.68	24191	0	--  	     181091.59	
="000972"	新中基	10.04	6.25	0.57	6.25	--  	781010	826	          0.00	         10.13	5.82	6.25	5.82	5.68	--  	478061568	  3.01	食品	新疆	 7.57	6.12	416145	364865	  1.14	81320	0	--  	      77128.35	
="600266"	北京城建	10.03	12.83	1.17	12.83	--  	582873	19	          0.00	          5.46	11.70	12.83	11.58	11.66	    21.53	711403712	  1.42	区域地产	北京	10.72	12.21	261539	321334	  0.81	58647	0	--  	     106704.00	
="600313"	农发种业	10.03	10.97	1.00	10.97	--  	411527	20	          0.00	         13.53	10.07	10.97	9.95	9.97	   237.22	438702528	  2.77	种植业	北京	10.23	10.66	206363	205164	  1.01	13950	0	--  	      30420.00	
="600836"	界龙实业	10.03	16.35	1.49	16.35	--  	263076	5	          0.00	          8.39	14.65	16.35	14.65	14.86	   829.45	413860928	  0.86	广告包装	上海	11.44	15.73	125162	137914	  0.91	141249	0	--  	      31356.33	
="603100"	川仪股份	10.02	18.00	1.64	18.00	--  	256312	4	          0.00	         25.63	16.30	18.00	16.29	16.36	    42.00	444985568	  0.94	电器仪表	重庆	10.45	17.36	108220	148092	  0.73	21129	0	--  	      10000.00	
="300131"	英唐智控	10.02	22.61	2.06	22.61	--  	139891	94	          0.00	         11.40	20.68	22.61	20.58	20.55	   194.46	305492896	  1.18	元器件	深圳	 9.88	21.84	69489	70402	  0.99	26430	0	--  	      12267.95	
="002731"	萃华珠宝	10.02	30.42	2.77	30.42	--  	872	2	          0.00	          0.23	30.42	30.42	30.42	27.65	    36.51	2655636	  3.63	服饰	辽宁	 0.00	30.42	715	157	  4.55	40114	0	--  	       3768.00	
="002561"	徐家汇	10.02	12.30	1.12	12.30	--  	129843	109	          0.00	          3.42	11.15	12.30	11.11	11.18	    21.17	155774544	  2.34	百货	上海	10.64	12.00	79501	50342	  1.58	53124	0	--  	      37991.03	
="600727"	鲁北化工	10.02	6.37	0.58	6.37	--  	348900	25	          0.15	          9.94	5.75	6.37	5.73	5.79	   205.42	215220976	  4.45	农药化肥	山东	11.05	6.17	147787	201113	  0.73	163567	0	--  	      35092.66	
="600021"	上海电力	10.02	6.70	0.61	6.70	--  	1225271	56	          0.00	          5.73	6.10	6.70	6.07	6.09	    17.64	799534016	  1.61	火力发电	上海	10.34	6.53	561589	663682	  0.85	6042	0	--  	     213973.92	
="601015"	陕西黑猫	10.02	14.28	1.30	14.28	--  	4385	1	          0.00	          0.37	14.28	14.28	14.28	12.98	    50.04	6262494	  3.65	焦炭加工	陕西	 0.00	14.28	3623	762	  4.75	130484	0	--  	      12000.00	
="603609"	禾丰牧业	10.01	15.38	1.40	15.38	--  	110246	1	          0.00	         13.78	13.92	15.38	13.84	13.98	    37.70	167176640	  0.72	饲料	辽宁	11.02	15.16	91784	18462	  4.97	38070	0	--  	       8000.00	
="002727"	一心堂	10.01	52.97	4.82	52.97	--  	197176	432	          0.00	         30.29	48.10	52.97	47.01	48.15	    45.88	1012750144	  3.75	医药连锁	云南	12.38	51.36	93515	103661	  0.90	3863	0	--  	       6510.00	
="300387"	富邦股份	10.01	60.45	5.50	60.45	--  	18893	32	          0.00	         14.54	55.16	60.45	55.16	54.95	    78.92	111727000	  1.11	化工原料	湖北	 9.63	59.14	12695	6198	  2.05	7129	0	--  	       1299.00	
="600650"	锦江投资	10.01	16.38	1.49	16.37	16.38	257132	18	          0.00	          6.58	14.90	16.38	14.77	14.89	    40.23	410384160	  1.99	公共交通	上海	10.81	15.96	118657	138475	  0.86	66	3716	--  	      39056.01	
="300226"	上海钢联	10.01	64.87	5.90	64.87	--  	49474	15	          0.00	          3.70	58.96	64.87	58.50	58.97	  1197.73	312892768	  1.53	互联网	上海	10.80	63.24	18880	30594	  0.62	1816	0	--  	      13383.24	
="002726"	龙大肉食	10.00	25.51	2.32	25.51	--  	209871	58	          0.00	         38.44	23.00	25.51	22.91	23.19	    52.60	529362880	  3.20	食品	山东	11.21	25.22	126786	83085	  1.53	14392	0	--  	       5459.00	
="300403"	地尔汉宇	10.00	65.54	5.96	65.54	--  	96001	52	          0.00	         28.24	64.00	65.54	59.63	59.58	    69.68	619296704	  5.56	电气设备	广东	 9.92	64.51	43745	52256	  0.84	16056	0	--  	       3400.00	
="300405"	科隆精化	10.00	55.88	5.08	55.88	--  	3615	1	          0.00	          2.13	55.88	55.88	55.88	50.80	    72.44	20203358	  3.77	化工原料	辽宁	 0.00	55.88	2873	742	  3.87	39261	0	--  	       1700.00	
="002084"	海鸥卫浴	10.00	8.36	0.76	8.36	--  	25779	1	          0.00	          0.63	8.36	8.36	8.36	7.60	    97.94	21551420	  0.14	家居用品	广东	 0.00	8.36	23742	2037	 11.66	167839	0	--  	      40605.57	
="000686"	东北证券	10.00	12.54	1.14	12.54	--  	1723796	1984	          0.00	         10.20	11.40	12.54	11.22	11.40	    30.56	2082278016	  1.45	证券	吉林	11.58	12.08	775139	948657	  0.82	136178	0	--  	     168948.16	
="300388"	国祯环保	10.00	47.19	4.29	47.19	--  	42865	17	          0.00	         19.43	42.30	47.19	42.00	42.90	    73.78	193737888	  1.51	环境保护	安徽	12.10	45.20	21482	21383	  1.00	6714	0	--  	       2206.00	
="000529"	广弘控股	10.00	10.12	0.92	10.11	10.12	282933	1961	          0.09	          4.99	9.48	10.12	9.48	9.20	    69.73	283449408	  3.77	食品	广东	 6.96	10.02	151986	130947	  1.16	763	7489	--  	      56719.78	
="002280"	新世纪	10.00	42.24	3.84	42.24	--  	33056	68	          0.00	          5.71	38.15	42.24	38.15	38.40	--  	136937424	  1.25	软件服务	浙江	10.65	41.43	10639	22417	  0.47	5773	0	--  	       5785.60	
="601002"	晋亿实业	10.00	15.84	1.44	15.84	--  	878812	20	          0.00	         11.90	14.44	15.84	14.41	14.40	    70.78	1337665664	  1.37	机械基件	浙江	 9.93	15.22	404132	474680	  0.85	13516	0	--  	      73847.00	
="002724"	海洋王	10.00	22.66	2.06	22.66	--  	1112	10	          0.00	          0.22	22.66	22.66	22.66	20.60	    76.66	2519792	  2.32	半导体	深圳	 0.00	22.66	948	164	  5.78	85481	0	--  	       5000.00	
="603169"	兰石重装	10.00	21.67	1.97	21.67	--  	522792	10	          0.00	         52.28	21.66	21.67	18.00	19.70	   201.95	1082367488	  1.65	专用机械	甘肃	18.63	20.70	268878	253914	  1.06	7517	0	--  	      10000.00	
="002413"	常发股份	10.00	19.80	1.80	19.80	--  	286038	126	          0.00	         12.97	19.20	19.80	18.56	18.00	    97.14	554083712	  4.46	机械基件	江苏	 6.89	19.37	127087	158951	  0.80	5846	0	--  	      22050.00	
="300397"	天和防务	10.00	102.20	9.29	102.20	--  	67225	29	          0.00	         22.41	92.96	102.20	92.50	92.91	   639.02	667035264	  1.96	通信设备	陕西	10.44	99.22	31339	35886	  0.87	5316	0	--  	       3000.00	
="300406"	九强生物	10.00	48.63	4.42	48.63	--  	486	15	          0.00	          0.20	48.63	48.63	48.63	44.21	    29.13	2363418	0.00	化学制药	北京	 0.00	48.63	425	61	  6.97	157411	0	--  	       2443.00	
="603988"	中电电机	10.00	37.96	3.45	37.96	--  	1356	10	          0.00	          0.68	37.96	37.96	37.96	34.51	    53.37	5147376	  5.65	电气设备	江苏	 0.00	37.96	1136	220	  5.16	38974	0	--  	       2000.00	
="002520"	日发精机	10.00	26.85	2.44	26.85	--  	81825	49	          0.00	          8.27	24.10	26.85	24.00	24.41	   110.26	211984096	  2.05	机床制造	浙江	11.68	25.91	37208	44617	  0.83	1374	0	--  	       9891.23	
="603688"	石英股份	9.99	19.92	1.81	19.92	--  	4326	3	          0.00	          0.77	19.92	19.92	19.92	18.11	    71.88	8617392	  3.00	矿物制品	江苏	 0.00	19.92	3541	785	  4.51	156375	0	--  	       5595.00	
="002517"	泰亚股份	9.99	15.41	1.40	15.41	--  	99308	47	          0.00	          5.62	14.02	15.41	14.01	14.01	--  	149230976	  3.00	服饰	福建	 9.99	15.03	55766	43542	  1.28	26064	0	--  	      17680.00	
="600827"	百联股份	9.99	14.20	1.29	14.20	--  	1287575	2	          0.00	          8.35	13.15	14.20	13.06	12.91	    20.86	1785812480	  5.03	超市连锁	上海	 8.83	13.87	572535	715040	  0.80	30414	0	--  	     154277.75	
="600663"	陆家嘴	9.99	24.56	2.23	24.56	--  	163481	3	          0.00	          1.20	22.36	24.56	22.20	22.33	    34.87	392001856	  0.99	园区开发	上海	10.57	23.98	91495	71986	  1.27	42863	0	--  	     135808.41	
="603011"	合锻股份	9.99	8.15	0.74	8.15	--  	160	3	          0.00	          0.04	8.15	8.15	8.15	7.41	    54.81	130400	0.00	机床制造	安徽	 0.00	8.15	145	15	  9.67	332259	0	--  	       4500.00	
="300249"	依米康	9.99	15.64	1.42	15.64	--  	105996	39	          0.00	         10.95	14.01	15.64	13.98	14.22	   374.36	161061600	  4.13	专用机械	四川	11.67	15.19	39149	66847	  0.59	2548	0	--  	       9681.88	
="600495"	晋西车轴	9.98	21.81	1.98	21.81	--  	514582	16	          0.00	          8.40	19.70	21.81	19.40	19.83	   192.14	1076441856	  1.59	运输设备	山西	12.15	20.92	221177	293405	  0.75	258630	0	--  	      61295.60	
="600639"	浦东金桥	9.98	14.10	1.28	14.10	--  	258926	4	          0.00	          3.94	12.81	14.10	12.72	12.82	    30.78	357307456	  2.39	园区开发	上海	10.76	13.80	132055	126871	  1.04	118238	0	--  	      65664.88	
="002452"	长高集团	9.97	16.10	1.46	16.10	--  	55131	268	          0.00	          3.62	14.58	16.10	14.57	14.64	    45.97	85453424	  1.68	电气设备	湖南	10.45	15.50	19608	35523	  0.55	6773	0	--  	      15237.00	
="300230"	永利带业	9.97	10.59	0.96	10.59	--  	594	1	          0.00	          0.06	10.59	10.59	10.59	9.63	    32.35	629396	  0.05	塑料	上海	 0.00	10.59	594	0	--  	36789	0	--  	      10127.07	
="603088"	宁波精达	9.97	13.57	1.23	13.57	--  	90	10	          0.00	          0.04	13.57	13.57	13.57	12.34	    32.91	122130	0.00	专用机械	浙江	 0.00	13.57	90	0	--  	282333	0	--  	       2000.00	
="603019"	中科曙光	9.96	11.15	1.01	11.15	--  	219	10	          0.00	          0.03	11.15	11.15	11.15	10.14	    84.72	244185	  0.91	电脑设备	天津	 0.00	11.15	188	31	  6.06	565015	0	--  	       7500.00	
="000705"	浙江震元	9.96	10.49	0.95	10.49	--  	185306	51	          0.00	          6.79	10.05	10.49	10.05	9.54	    67.21	193153776	  2.87	医药连锁	浙江	 4.61	10.42	135088	50218	  2.69	62002	0	--  	      27272.08	
="002597"	金禾实业	9.94	17.37	1.57	17.37	17.38	83179	3006	          0.05	          3.02	15.88	17.38	15.60	15.80	    28.07	140281440	  2.22	化工原料	安徽	11.27	16.86	31741	51438	  0.62	152	1437	--  	      27548.77	
