代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="601898"	中煤能源	2.08	4.90	0.10	4.90	4.91	1069829	362	          0.82	          1.17	4.81	5.02	4.74	4.80	    73.92	521718016	  2.22	煤炭开采	北京	 5.83	
="002184"	海得控制	2.08	18.68	0.38	18.67	18.68	55418	1580	          1.08	          4.16	18.18	18.68	17.47	18.30	   107.36	99100240	  1.38	软件服务	上海	 6.61	
="601166"	兴业银行	2.03	11.04	0.22	11.04	11.05	5762479	10	          0.09	          3.56	10.84	11.35	10.84	10.82	     4.12	6389123584	  2.73	银行	福建	 4.71	
="600687"	刚泰控股	2.03	17.09	0.34	17.07	17.08	157058	8	          0.23	          6.38	16.70	17.25	16.33	16.75	    72.80	262756496	  1.81	综合类	甘肃	 5.49	
="600048"	保利地产	2.00	6.13	0.12	6.12	6.13	3076800	25	          0.16	          2.87	6.06	6.23	6.00	6.01	     8.11	1881064832	  1.91	全国地产	广东	 3.83	
="000411"	英特集团	1.98	18.51	0.36	18.51	18.55	21983	1732	          0.16	          1.08	18.22	18.55	17.81	18.15	    55.08	40156788	  0.91	医药连锁	浙江	 4.08	
="603009"	北特科技	1.98	30.42	0.59	30.42	30.43	81842	14	          0.56	         30.69	29.90	31.50	29.10	29.83	    76.54	246587040	  1.53	汽车配件	上海	 8.05	
="300155"	安居宝	1.95	15.65	0.30	15.63	15.65	49120	455	          0.25	          2.76	15.43	15.76	15.10	15.35	    61.04	75860928	  1.16	元器件	广东	 4.30	
="600811"	东方集团	1.95	7.31	0.14	7.31	7.32	1079505	169	          0.27	          6.48	7.20	7.68	7.18	7.17	     8.10	797072320	  2.68	综合类	黑龙江	 6.97	
="601699"	潞安环能	1.90	9.65	0.18	9.64	9.65	883236	1	          0.00	          3.84	9.60	9.85	9.40	9.47	    26.23	851631680	  2.18	煤炭开采	山西	 4.75	
="000936"	华西股份	1.85	5.50	0.10	5.49	5.50	206640	8329	         -0.36	          2.76	5.40	5.53	5.18	5.40	   104.76	110485136	  1.26	化纤	江苏	 6.48	
="000685"	中山公用	1.81	15.20	0.27	15.15	15.20	331312	2272	          0.19	          5.06	15.29	15.86	14.90	14.93	    17.69	513389568	  1.84	水务	广东	 6.43	
="601001"	大同煤业	1.78	8.01	0.14	8.00	8.01	468630	20	          0.50	          2.80	7.90	8.28	7.80	7.87	    17.81	377920480	  1.82	煤炭开采	山西	 6.10	
="000815"	美利纸业	1.77	9.20	0.16	9.19	9.20	152507	479	          0.00	          4.81	9.00	9.67	8.95	9.04	--  	142577280	  1.18	造纸	宁夏	 7.96	
="600827"	百联股份	1.73	12.91	0.22	12.91	12.92	558140	20	          0.46	          3.62	12.77	12.97	12.57	12.69	    18.97	714688896	  3.04	超市连锁	上海	 3.15	
="600971"	恒源煤电	1.72	7.11	0.12	7.11	7.12	351461	696	          0.14	          3.51	7.03	7.23	6.89	6.99	   126.92	249782912	  2.32	煤炭开采	安徽	 4.86	
="600056"	中国医药	1.71	13.65	0.23	13.67	13.68	190333	20	          0.29	          2.15	13.44	13.67	13.30	13.42	    24.60	257606880	  2.04	医药连锁	北京	 2.76	
="002707"	众信旅游	1.67	136.85	2.25	136.80	136.85	13106	89	         -0.36	          8.99	134.20	138.00	130.51	134.60	    64.10	174367088	  1.40	旅游服务	北京	 5.56	
="300375"	鹏翎股份	1.67	50.02	0.82	50.02	50.04	41545	433	         -0.05	         18.71	49.39	51.25	48.56	49.20	    35.02	207239200	  2.14	汽车配件	天津	 5.47	
="000666"	经纬纺机	1.64	17.34	0.28	--  	--  	38254	5	          0.00	          1.30	17.06	17.45	17.00	17.06	    28.85	66024460	  0.24	纺织机械	北京	 2.64	
="000555"	神州信息	1.62	39.00	0.62	38.99	39.00	20574	336	          0.41	          2.27	38.34	39.00	36.90	38.38	    98.43	78904040	  1.62	通信设备	深圳	 5.47	
="600055"	华润万东	1.59	22.94	0.36	22.89	22.90	63533	3	          0.34	          2.94	22.60	23.09	21.22	22.58	   266.46	139144608	  2.60	医疗保健	北京	 8.28	
