代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="603368"	柳州医药	10.01	41.54	3.78	41.54	--  	140	10	0.00	          0.06	41.54	41.54	41.54	37.76	    27.75	581560	0.00	医药商业	广西	0.00	41.54	135	5	 27.00	48918	0	--  	
="002338"	奥普光电	10.01	55.28	5.03	55.28	--  	34795	105	0.00	          2.93	50.40	55.28	49.12	50.25	   124.15	184784768	  3.02	电器仪表	吉林	12.26	53.11	16132	18663	  0.86	1167	0	--  	
="002013"	中航机电	10.01	24.18	2.20	24.17	24.18	302568	1817	0.12	         10.33	22.10	24.18	21.22	21.98	    55.76	695912640	  1.80	汽车配件	湖北	13.47	23.00	135357	167210	  0.81	258	2991	--  	
="000562"	宏源证券	10.01	25.50	2.32	25.50	--  	1686852	965	0.00	          4.79	25.50	25.50	24.44	23.18	    60.90	4282993920	  1.15	证券	新疆	4.57	25.39	1100529	586323	  1.88	92709	0	--  	
="600999"	招商证券	10.01	26.05	2.37	26.05	--  	2651480	2	0.00	          5.69	24.90	26.05	23.68	23.68	    44.79	6735153664	  1.33	证券	深圳	10.01	25.40	1327780	1323699	  1.00	8551	0	--  	
="000042"	中洲控股	10.01	15.50	1.41	15.50	--  	335209	534	0.00	          7.00	14.27	15.50	13.35	14.09	    18.24	491638816	  2.42	全国地产	深圳	15.26	14.67	151414	183795	  0.82	23398	0	--  	
="600391"	成发科技	10.01	31.88	2.90	31.88	--  	399641	23	0.00	         12.11	29.90	31.88	27.84	28.98	   297.93	1206315008	  1.45	航空	四川	13.94	30.18	229655	169986	  1.35	13632	0	--  	
="600855"	航天长峰	10.00	24.74	2.25	24.74	--  	348973	10	0.56	         14.96	23.15	24.74	21.38	22.49	  1005.60	822380224	  2.65	专用机械	北京	14.94	23.57	149580	199393	  0.75	91996	0	--  	
="300407"	凯发电气	10.00	38.93	3.54	38.93	--  	78	3	0.00	          0.05	38.93	38.93	38.93	35.39	    56.40	303654	0.00	电气设备	天津	0.00	38.93	73	5	 14.60	32706	0	--  	
="600893"	航空动力	10.00	32.23	2.93	32.23	--  	692729	24	0.00	          6.38	30.27	32.23	28.50	29.30	   101.23	2143271040	  3.38	航空	陕西	12.73	30.94	320349	372379	  0.86	3747	0	--  	
