代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="600068"	葛洲坝	-3.32	5.82	-0.20	5.81	5.82	1331803	30	0.00	          3.82	6.05	6.09	5.67	6.02	    11.53	783827648	  1.05	建筑施工	湖北	6.98	5.89	624584	707219	  0.88	838	484	--  	
="000966"	长源电力	-3.43	10.43	-0.37	10.43	10.44	216450	3808	0.00	          3.91	10.81	10.96	10.32	10.80	     6.97	229358272	  1.37	火力发电	湖北	5.93	10.60	126857	89593	  1.42	1376	883	--  	
="002016"	世荣兆业	-3.47	9.45	-0.34	9.44	9.45	285662	2579	0.42	          4.42	9.75	9.77	8.95	9.79	   155.60	267073312	  1.46	区域地产	广东	8.38	9.35	151883	133779	  1.14	1101	303	--  	
="600259"	广晟有色	-3.57	53.14	-1.97	53.08	53.10	155221	2	-0.01	          6.22	55.10	55.17	51.30	55.11	  1163.68	825156352	  1.05	小金属	海南	7.02	53.16	82261	72960	  1.13	18	9	--  	
="002160"	*ST常铝	-3.69	6.27	-0.24	6.27	6.28	117933	746	-0.15	          3.63	6.52	6.55	6.18	6.51	   106.46	74860592	  1.02	铝	江苏	5.68	6.35	77986	39947	  1.95	493	242	--  	
="000333"	美的集团	-3.70	24.70	-0.95	24.69	24.70	593453	9030	0.36	          2.65	25.95	26.00	24.10	25.65	     8.72	1480129280	  1.07	家用电器	广东	7.41	24.94	306080	287372	  1.07	40	209	--  	
="000926"	福星股份	-3.76	9.47	-0.37	9.47	9.48	466116	1002	-0.21	          8.82	9.95	10.00	9.34	9.84	     8.73	448562080	  1.13	区域地产	湖北	6.71	9.62	252825	213291	  1.19	2152	2028	--  	
="600585"	海螺水泥	-3.80	18.97	-0.75	18.98	18.99	1217108	666	0.31	          3.04	19.93	20.00	18.45	19.72	     9.23	2332300032	  1.18	水泥	安徽	7.86	19.16	664136	552971	  1.20	37	18	--  	
="600483"	福能股份	-3.82	10.08	-0.40	10.07	10.08	91577	5	-0.09	          3.17	10.48	10.50	9.91	10.48	    17.68	92981744	  1.08	火力发电	福建	5.63	10.15	56588	34989	  1.62	53	170	--  	
="600005"	武钢股份	-3.87	2.98	-0.12	2.98	2.99	2558867	284	0.00	          2.54	3.11	3.15	2.91	3.10	    29.28	775033088	  1.09	普钢	湖北	7.74	3.03	1364441	1194425	  1.14	6084	8970	--  	
="000159"	国际实业	-3.91	10.80	-0.44	10.79	10.80	395291	2719	-0.36	          8.22	11.40	11.49	10.33	11.24	    60.08	436368672	  1.43	石油贸易	新疆	10.32	11.04	213383	181907	  1.17	132	353	--  	
="600170"	上海建工	-3.93	6.36	-0.26	6.36	6.37	828999	427	0.15	          7.54	6.62	6.65	6.24	6.62	    16.30	534540480	  0.87	建筑施工	上海	6.19	6.45	425089	403909	  1.05	5	3087	--  	
="600801"	华新水泥	-4.02	8.83	-0.37	8.82	8.83	425622	2	0.34	          4.38	9.27	9.36	8.62	9.20	    12.16	382014368	  1.10	水泥	湖北	8.04	8.98	234960	190662	  1.23	645	66	--  	
="000525"	红 太 阳	-4.29	16.51	-0.74	16.50	16.51	143364	660	0.00	          2.83	17.25	17.25	16.18	17.25	    15.78	239021680	  0.94	农药化肥	江苏	6.20	16.67	89011	54352	  1.64	1334	1379	--  	
="002011"	盾安环境	-4.35	10.33	-0.47	10.33	10.34	644884	3631	-0.09	          7.70	10.90	10.93	9.97	10.80	    57.11	678293888	  1.56	工程机械	浙江	8.89	10.52	321805	323079	  1.00	5809	10	--  	
="601058"	赛轮股份	-4.36	17.77	-0.81	17.75	17.78	72755	10	1.25	          1.92	18.50	18.51	17.35	18.58	    23.43	128858800	  1.70	汽车配件	山东	6.24	17.71	50418	22337	  2.26	30	30	--  	
="600335"	国机汽车	-4.42	20.33	-0.94	20.32	20.33	83045	10	-0.58	          1.48	20.91	21.13	19.30	21.27	    15.30	168757472	  0.98	汽车配件	天津	8.60	20.32	51603	31441	  1.64	60	58	--  	
="600392"	盛和资源	-4.47	22.46	-1.05	22.46	22.47	167276	3	0.04	         10.68	23.82	24.00	21.95	23.51	   219.75	380937536	  1.01	小金属	山西	8.72	22.77	87666	79609	  1.10	4	32	--  	
="600639"	浦东金桥	-4.48	16.21	-0.76	16.20	16.21	246333	23	-0.12	          3.75	17.24	17.24	15.60	16.97	    35.39	403850624	  0.92	园区开发	上海	9.66	16.39	136830	109503	  1.25	18	163	--  	
="601233"	桐昆股份	-4.65	7.99	-0.39	7.98	7.99	218717	20	0.12	          2.28	8.37	8.38	7.81	8.38	   338.52	176736240	  0.89	化纤	浙江	6.80	8.08	120983	97734	  1.24	321	37	--  	
="002271"	东方雨虹	-4.73	31.82	-1.58	31.81	31.82	42719	398	0.00	          1.96	33.40	33.40	30.85	33.40	    23.17	136556848	  0.55	其他建材	北京	7.63	31.97	26122	16597	  1.57	316	271	--  	
="002162"	斯米克	-4.76	9.00	-0.45	8.99	9.00	124201	839	0.00	          2.97	9.42	9.42	8.85	9.45	   388.06	112716728	  1.14	陶瓷	上海	6.03	9.08	74934	49267	  1.52	327	382	--  	
="600284"	浦东建设	-4.82	10.86	-0.55	10.84	10.85	453435	81	-0.18	          6.86	11.48	11.48	10.64	11.41	    23.77	498232992	  1.51	建筑施工	上海	7.36	10.99	260346	193089	  1.35	1534	428	--  	
="600549"	厦门钨业	-4.86	33.46	-1.71	33.47	33.49	215972	26	0.17	          3.17	34.92	35.29	32.36	35.17	    80.69	733981248	  1.10	小金属	福建	8.33	33.99	111698	104274	  1.07	3	174	--  	
="600058"	五矿发展	-4.87	15.05	-0.77	15.04	15.05	404875	66	-0.19	          3.78	15.70	15.71	14.50	15.82	    68.48	615614400	  1.18	商贸代理	北京	7.65	15.21	202533	202342	  1.00	271	25	--  	
