代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002507"	涪陵榨菜	-2.11	27.34	-0.59	27.33	27.34	7958	50	          0.10	          0.69	27.61	28.00	26.86	27.93	    31.67	21697938	  0.74	食品	重庆	 4.08	
="600033"	福建高速	-2.12	2.77	-0.06	2.77	2.78	364147	37	          0.00	          1.33	2.80	2.84	2.74	2.83	    11.75	101467616	  0.46	路桥	福建	 3.53	
="600004"	白云机场	-2.14	8.22	-0.18	8.23	8.24	73868	120	          0.24	          0.64	8.39	8.40	8.20	8.40	     9.01	61074768	  0.92	机场	广东	 2.38	
="601989"	中国重工	-2.14	6.39	-0.14	6.38	6.39	1798531	5	         -0.15	          1.15	6.52	6.52	6.35	6.53	    42.08	1154887552	  0.80	船舶	北京	 2.60	
="300189"	神农大丰	-2.22	7.91	-0.18	7.91	7.92	187856	801	          0.38	          5.61	8.07	8.19	7.68	8.09	   221.46	149320864	  1.00	种植业	海南	 6.30	
="600729"	重庆百货	-2.23	22.31	-0.51	22.27	22.28	59276	387	         -0.17	          1.59	22.58	22.75	22.20	22.82	    10.60	133117640	  0.52	百货	重庆	 2.41	
="600609"	金杯汽车	-2.24	3.92	-0.09	3.91	3.92	184812	10	          0.00	          1.69	4.00	4.05	3.88	4.01	   305.48	72710856	  0.55	汽车整车	辽宁	 4.24	
="600845"	宝信软件	-2.31	30.42	-0.72	30.42	30.49	11723	62	          0.89	          0.52	30.91	31.13	30.02	31.14	    41.55	35590360	  0.50	软件服务	上海	 3.56	
="000928"	中钢国际	-2.32	10.95	-0.26	10.94	10.95	42595	360	          0.27	          1.51	11.22	11.25	10.86	11.21	--  	46887496	  0.70	建筑施工	吉林	 3.48	
="002598"	山东章鼓	-2.32	9.68	-0.23	9.68	9.69	86386	831	          0.00	          3.28	9.80	9.90	9.62	9.91	    40.60	84161728	  0.63	机械基件	山东	 2.83	
="600671"	天目药业	-2.39	16.36	-0.40	16.35	16.39	26487	40	          0.67	          2.18	16.76	16.95	16.11	16.76	--  	43480740	  0.87	中成药	浙江	 5.01	
="600372"	中航电子	-2.40	28.11	-0.69	28.09	28.12	107019	19	          0.07	          0.61	28.59	28.88	28.00	28.80	    91.36	303418944	  0.76	航空航天	江西	 3.06	
="002690"	美亚光电	-2.43	44.20	-1.10	44.19	44.20	8859	154	         -0.40	          0.80	45.30	45.32	44.00	45.30	    69.95	39430576	  0.56	专用机械	安徽	 2.91	
="000543"	皖能电力	-2.44	7.61	-0.19	7.61	7.62	161996	814	         -0.13	          1.58	7.75	7.89	7.50	7.80	     8.38	124564640	  0.97	火力发电	安徽	 5.00	
="601313"	江南嘉捷	-2.45	9.94	-0.25	9.94	9.95	52499	66	         -0.40	          1.96	10.17	10.26	9.79	10.19	    22.62	52506964	  0.52	运输设备	江苏	 4.61	
="600086"	东方金钰	-2.47	22.88	-0.58	22.87	22.88	59912	3	         -0.08	          1.70	23.50	23.50	22.75	23.46	    70.76	137582320	  1.24	服饰	湖北	 3.20	
="600020"	中原高速	-2.49	2.74	-0.07	2.73	2.74	105948	29	          0.00	          0.47	2.80	2.81	2.73	2.81	     9.87	29246604	  0.61	路桥	河南	 2.85	
="002031"	巨轮股份	-2.53	10.78	-0.28	10.78	10.79	80498	443	         -0.46	          1.96	11.05	11.23	10.71	11.06	    30.78	87996952	  0.62	汽车配件	广东	 4.70	
="000902"	新洋丰	-2.57	14.00	-0.37	13.99	14.00	101049	1006	          0.07	          3.92	14.36	14.81	13.85	14.37	    14.69	144030464	  1.00	农药化肥	湖北	 6.68	
="002691"	石中装备	-2.61	14.20	-0.38	14.19	14.20	35180	190	          0.07	          5.33	14.50	14.68	14.12	14.58	    82.29	50353152	  0.33	专用机械	河北	 3.84	
="300041"	回天新材	-2.68	19.98	-0.55	19.96	19.98	19591	37	          0.15	          1.51	20.53	20.53	19.77	20.53	    30.43	39287832	  0.88	化工原料	湖北	 3.70	
="002496"	辉丰股份	-2.69	16.66	-0.46	16.63	16.66	44117	169	         -0.59	          2.39	16.93	17.28	16.00	17.12	    25.44	73635760	  0.74	农药化肥	江苏	 7.48	
="600694"	大商股份	-2.74	30.91	-0.87	30.89	30.90	94294	34	         -0.32	          3.21	31.58	31.94	30.60	31.78	     6.05	293543776	  0.96	百货	辽宁	 4.22	
="002230"	科大讯飞	-2.82	30.30	-0.88	30.30	30.32	172438	2616	          0.29	          2.98	31.10	31.35	29.81	31.18	   103.97	525601952	  0.89	软件服务	安徽	 4.94	
="600238"	海南椰岛	-2.83	8.93	-0.26	8.92	8.93	176214	8	          0.00	          3.99	9.10	9.12	8.91	9.19	    48.11	158770368	  0.73	红黄药酒	海南	 2.29	
="300118"	东方日升	-2.83	9.96	-0.29	9.96	9.97	185658	1194	         -0.10	          4.89	10.25	10.41	9.88	10.25	   148.98	187202336	  0.83	半导体	浙江	 5.17	
="002002"	鸿达兴业	-2.86	11.20	-0.33	11.20	11.21	44246	965	          0.81	          1.89	11.65	11.65	11.07	11.53	    39.01	49816732	  0.70	塑料	广东	 5.03	
="002481"	双塔食品	-2.86	14.93	-0.44	14.92	14.93	27547	169	          0.00	          0.74	15.30	15.48	14.88	15.37	    53.08	41633884	  0.65	食品	山东	 3.90	
="600160"	巨化股份	-2.87	6.10	-0.18	6.10	6.11	247009	236	          0.00	          1.36	6.23	6.34	6.06	6.28	    82.33	152536992	  0.48	化工原料	浙江	 4.46	
="002187"	广百股份	-2.89	10.41	-0.31	10.40	10.41	32387	232	         -0.19	          0.96	10.68	10.79	10.38	10.72	    14.97	34066504	  0.59	百货	广东	 3.82	
="002470"	金正大	-2.91	25.40	-0.76	25.32	25.40	50310	659	         -0.03	          0.85	26.34	26.50	25.08	26.16	    16.36	128451120	  0.75	农药化肥	山东	 5.43	
="600792"	云煤能源	-2.92	12.31	-0.37	12.28	12.30	56829	17	         -0.80	          1.42	12.88	13.05	12.30	12.68	   559.47	72340992	  2.13	焦炭加工	云南	 5.91	
="600478"	科力远	-2.92	24.58	-0.74	24.58	24.60	79103	100	          0.24	          1.68	25.40	25.68	24.34	25.32	  1311.11	195784608	  1.07	元器件	湖南	 5.29	
="600800"	天津磁卡	-3.01	7.10	-0.22	7.09	7.10	195091	240	         -0.14	          3.20	7.24	7.31	7.08	7.32	--  	139600528	  0.66	综合类	天津	 3.14	
="000989"	九 芝 堂	-3.09	14.72	-0.47	14.71	14.72	108035	330	         -0.27	          3.63	15.00	15.01	14.45	15.19	    28.20	158537776	  0.77	中成药	湖南	 3.69	
="002563"	森马服饰	-3.15	32.88	-1.07	32.83	32.88	15972	134	          0.21	          2.28	33.73	33.80	32.56	33.95	    32.04	52770532	  0.90	服饰	浙江	 3.65	
="601107"	四川成渝	-3.16	3.37	-0.11	3.37	3.38	153129	49	          0.29	          0.71	3.46	3.46	3.35	3.48	     9.31	51982040	  0.73	路桥	四川	 3.16	
="600337"	美克家居	-3.17	8.24	-0.27	8.24	8.25	59936	173	          0.12	          0.94	8.43	8.59	8.21	8.51	    28.43	50295184	  0.98	家居用品	新疆	 4.47	
="601727"	上海电气	-3.18	5.17	-0.17	5.16	5.17	371751	1	          0.00	          0.38	5.31	5.33	5.11	5.34	    27.80	192667488	  1.09	电气设备	上海	 4.12	
="600993"	马应龙	-3.20	20.30	-0.67	20.31	20.33	58339	50	          0.04	          1.76	20.88	21.14	20.20	20.97	    25.77	119771384	  0.72	中成药	湖北	 4.48	
="600165"	新日恒力	-3.22	9.01	-0.30	9.00	9.01	53708	10	         -0.11	          2.77	9.29	9.38	8.98	9.31	    75.81	48793404	  1.00	钢加工	宁夏	 4.30	
="002086"	东方海洋	-3.27	10.65	-0.36	10.65	10.66	71785	368	         -0.09	          3.02	11.02	11.06	10.53	11.01	    37.69	77178456	  0.69	渔业	山东	 4.81	
="002215"	诺 普 信	-3.27	9.75	-0.33	9.75	9.76	52062	1707	         -0.20	          1.01	10.00	10.00	9.70	10.08	    16.77	50996780	  0.66	农药化肥	深圳	 2.98	
="002687"	乔治白	-3.31	10.81	-0.37	10.81	10.82	28864	283	          0.00	          4.15	11.13	11.21	10.79	11.18	    33.62	31626766	  0.72	服饰	浙江	 3.76	
="002511"	中顺洁柔	-3.37	10.04	-0.35	10.04	10.05	94362	367	         -0.09	          2.33	10.36	10.43	9.99	10.39	    56.31	95410544	  1.00	造纸	广东	 4.23	
="002384"	东山精密	-3.50	14.07	-0.51	14.06	14.07	53910	120	         -0.07	          1.19	14.44	14.65	14.00	14.58	   245.84	76718944	  0.83	通信设备	江苏	 4.46	
="300180"	华峰超纤	-3.50	20.10	-0.73	20.06	20.10	15662	184	         -0.14	          1.36	20.65	20.85	20.06	20.83	    28.89	31856506	  1.07	化纤	上海	 3.79	
="601113"	华鼎股份	-3.58	5.38	-0.20	5.37	5.38	79046	29	          0.00	          1.24	5.53	5.60	5.30	5.58	--  	42756480	  0.76	化纤	浙江	 5.38	
="002494"	华斯股份	-3.64	15.37	-0.58	15.36	15.37	32554	141	          0.00	          3.35	15.83	15.83	15.29	15.95	    29.90	50454096	  1.04	服饰	河北	 3.39	
="000766"	通化金马	-3.67	7.61	-0.29	7.61	7.62	84099	761	         -0.26	          1.87	7.85	7.88	7.53	7.90	   417.65	64774912	  0.64	中成药	吉林	 4.43	
="601588"	北辰实业	-3.68	3.40	-0.13	3.40	3.41	432412	602	         -0.29	          1.63	3.53	3.54	3.37	3.53	    24.05	148974448	  0.72	区域地产	北京	 4.82	
="002110"	三钢闽光	-3.75	6.42	-0.25	6.42	6.43	91905	1367	         -0.31	          1.72	6.63	6.77	6.32	6.67	--  	59795440	  0.79	普钢	福建	 6.75	
="000667"	美好集团	-3.76	2.56	-0.10	2.56	2.57	767697	4913	         -0.38	          3.00	2.66	2.66	2.53	2.66	   174.77	197512112	  1.03	全国地产	云南	 4.89	
="600727"	鲁北化工	-3.85	5.75	-0.23	5.74	5.75	97642	20	         -0.51	          2.78	5.95	6.02	5.72	5.98	   156.16	57293704	  0.80	农药化肥	山东	 5.02	
="002061"	江山化工	-3.88	4.96	-0.20	4.96	4.97	117377	1011	         -0.20	          2.87	5.13	5.16	4.95	5.16	--  	59071920	  0.82	化工原料	浙江	 4.07	
="600590"	泰豪科技	-3.88	8.92	-0.36	8.90	8.94	125573	6	          0.22	          2.51	9.27	9.27	8.82	9.28	--  	113176800	  0.53	电气设备	江西	 4.85	
="000650"	仁和药业	-3.95	6.81	-0.28	6.80	6.81	196011	1001	         -0.14	          1.98	7.09	7.18	6.77	7.09	    26.97	135386464	  1.03	中成药	江西	 5.78	
="600012"	皖通高速	-3.96	4.85	-0.20	4.84	4.85	61702	10	         -0.20	          0.53	5.05	5.05	4.83	5.05	     9.18	30445960	  0.89	路桥	安徽	 4.36	
="000514"	渝 开 发	-4.22	5.68	-0.25	5.68	5.69	135293	872	          0.00	          1.60	5.79	5.88	5.66	5.93	    29.67	77627600	  0.75	区域地产	重庆	 3.71	
="600260"	凯乐科技	-4.24	9.27	-0.41	9.26	9.27	182823	50	         -0.21	          3.46	9.67	9.72	9.20	9.68	    30.72	171829072	  0.97	白酒	湖北	 5.37	
="600306"	*ST商城	-4.27	10.53	-0.47	10.54	10.56	34922	2	         -0.94	          1.97	11.00	11.12	10.51	11.00	--  	37883076	  1.18	百货	辽宁	 5.55	
="300031"	宝通带业	-4.31	9.10	-0.41	9.10	9.11	150144	917	         -0.10	          7.02	9.43	9.47	8.90	9.51	    33.81	136732624	  1.25	橡胶	江苏	 5.99	
="600674"	川投能源	-4.38	16.59	-0.76	16.58	16.59	193202	238	          0.00	          0.88	17.32	17.39	16.58	17.35	    20.39	326997472	  1.35	火力发电	四川	 4.67	
="600810"	神马股份	-4.40	7.38	-0.34	7.37	7.38	69782	9	         -0.40	          1.58	7.70	7.76	7.31	7.72	    31.28	52443724	  0.98	化纤	河南	 5.83	
