代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="880846"	破净资产	6.57	1456.03	89.79	--  	--  	90118440	--  	0.10	          1.78	1367.39	1457.97	1361.26	1366.24	     4.92	51662200832	  2.74			7.08	1420.53	--  	--  	--  	--  	--  	--  	   50673328.00	
="000089"	深圳机场	6.39	5.66	0.34	5.65	5.66	388198	2256	0.17	          2.29	5.37	5.85	5.37	5.32	    37.43	219837616	  2.28	机场	深圳	9.02	5.66	187377	200820	  0.93	1058	1591	--  	     169169.27	
="601288"	农业银行	5.95	2.85	0.16	2.85	2.86	14868542	31122	0.00	          0.52	2.68	2.86	2.67	2.69	     4.55	4124558848	  3.28	银行	北京	7.06	2.77	6046675	8821866	  0.69	11790	161554	--  	   28416352.00	
="601398"	工商银行	5.48	4.04	0.21	4.04	4.05	8537071	3624	0.00	          0.32	3.83	4.05	3.82	3.83	     4.83	3356783616	  4.26	银行	北京	6.01	3.93	3508299	5028772	  0.70	2665	38801	--  	   26471778.00	
="880990"	TDX 金融	4.98	1262.75	59.87	--  	--  	170060320	--  	0.05	          1.57	1202.32	1263.61	1197.06	1202.88	     6.16	161439694848	  1.90			5.53	1236.82	--  	--  	--  	--  	--  	--  	  108100632.00	
="600201"	金宇集团	4.93	36.62	1.72	36.60	36.63	50143	12	-0.13	          1.79	34.90	37.52	34.85	34.90	    25.35	182109088	  2.90	生物制药	内蒙	7.65	36.32	22174	27968	  0.79	83	4	--  	      28081.49	
="000076"	金融等权	4.76	3836.00	174.25	--  	--  	143360416	--  	0.00	--  	3668.11	3838.06	3649.54	3661.75	--  	120328347648	  2.06			5.15	3661.75	--  	--  	--  	--  	--  	--  	--  	
="000038"	上证金融	4.69	3602.00	161.21	--  	--  	143360416	--  	-0.06	--  	3442.76	3606.20	3428.55	3440.79	--  	120328347648	  2.06			5.16	3440.79	--  	--  	--  	--  	--  	--  	--  	
="510650"	金融行业	4.62	1.199	0.053	1.196	1.198	2569231	299	-0.33	         73.20	1.146	1.204	1.141	1.146	--  	301738816	  1.59			5.50	1.174	1086410	1482820	  0.73	90	701	--  	      35100.00	
="002220"	天宝股份	4.58	9.14	0.40	9.13	9.14	182675	1025	0.10	          4.69	8.75	9.29	8.74	8.74	    24.67	165102592	  1.75	食品	辽宁	6.29	9.04	84826	97849	  0.87	1096	470	--  	      38948.12	
